id
AGJM01000068.1 Geobacter metallireducens RCH3 ctg00097
HG422173.1 Nitrospina gracilis 3/211 genomic scaffold
AQTY01000007.1 Nitrospina sp. SCGC AAA288-L16 A288L16DRAFT_2505696051.7_C
JZKJ01000002.1 Nitrospina sp. SCGC_AAA799_C22 AAA799C22_2
JZKI01000029.1 Nitrospina sp. SCGC_AAA799_A02 AAA799A02_30
CP011801.1 Nitrospira moscoviensis strain NSP M-1
LFLA01000018.1 Nitrospina sp. LS_NOB contig1050
LXTJ01000253.1 Nitrospina sp. SPGG3 2028
MHDQ01000265.1 Nitrospinae bacterium RIFCSPLOWO2_12_FULL_45_22 rifcsplowo2_12_scaffold_5878
MHDK01000078.1 Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10 rifcsplowo2_01_scaffold_30341
CP019913.2 Desulfococcus multivorans strain DSM 2059 chromosome
MPNJ01000002.1 Nitrospinae bacterium bin107 NODE_16_length_363417_cov_20.2573_ID_31
A288L16DRAFT_2505696051.7 Nitrospina sp. SCGC AAA288-L16 : A288L16DRAFT_2505696051.7
Ga0006991_144 AP Nitrospinae bacterium SCGC AD-113-L211384472689735 : Ga0006991_144
Ga0006967_105 AP Nitrospinae bacterium SCGC AC-728-G231384468219248 : Ga0006967_105
Ga0006968_111 AP Nitrospinae bacterium SCGC AC-728-O151384468219331 : Ga0006968_111
Ga0006975_108 AP Nitrospinae bacterium SCGC AC-738-P201384468220024 : Ga0006975_108
Ga0007005_101 AP Nitrospinae bacterium SCGC AD-261-E201384472690866 : Ga0007005_101
Ga0006892_108 AP Nitrospinae bacterium SCGC AAA008-D051384468213203 : Ga0006892_108
Ga0006933_150 AP Nitrospinae bacterium SCGC AC-312-F101384468216053 : Ga0006933_150
Ga0006946_102 AP Nitrospinae bacterium SCGC AC-649-C231384468217350 : Ga0006946_102
Ga0131071_113 Nitrospinae bacterium SAG AG-538-K21 : Ga0131071_113
Ga0131072_1011 Nitrospinae bacterium SAG AG-538-L21 : Ga0131072_1011
NODE_1_length_3310067_cov_35.882890 Nitrospina stinkeri
1_length_3921641 Nitrospina noahi
