Point,Formic acid,Acetic acid,Propionic acid,Isobutyric acid,Propanol_2,Butyric acid,Isovaleric acid,Valeric acid
Inok,0,375.8948128,105.526201,6.490937498,15.54285813,101.4924105,9.474153763,9.239458899
Rusitec-T48_144h_1,0,628.9811726,406.9746025,15.30383432,14.68523526,169.5698073,36.11147632,46.86066058
Rusitec-T48_144h_2,0,632.636196,440.9309683,21.4035567,9.584277773,174.6758371,32.57934918,57.67356208
Rusitec-T48_144h_3,0,642.7849209,435.0651869,22.18954167,10.61092758,166.6284418,35.15398321,57.23108085
Rusitec-T48_144h_4,0,675.6036719,409.5644388,21.78160231,6.801872341,191.5165522,36.10290837,52.69246738
Rusitec-T48_144h_5,0,720.3931656,491.4761164,19.70494195,4.916354292,205.2080066,32.49760307,52.83230424
Rusitec-T48_144h_6,0,694.3747332,486.1650057,22.32865993,8.144263486,184.3625915,36.8694268,58.65676177
Rusitec-T48_144h_7,0,769.050286,530.5522708,24.41216173,7.342007626,186.5033307,39.18758152,59.6169717
Rusitec-T48_144h_8,0,643.9546948,450.0577237,22.23361671,5.357558551,171.6366804,33.07530404,54.337187
Rusitec-T48_144h_9,0,736.5092849,484.8150018,22.96281476,6.1293765,194.8165818,37.57051937,55.59464769
Rusitec-T48_144h_10,0,683.5513338,438.2443704,23.13739127,8.331234532,187.8869557,40.08180346,53.14061476
Rusitec-T48_144h_11,0,708.0564459,468.3725518,24.15416368,7.999389895,187.4723887,40.96759975,56.38078953
Rusitec-T48_144h_12,0,669.2703656,413.1869698,26.20933164,8.721894597,188.20867,41.73001461,48.49603224
Rusitec-T48_168h_1,0,654.812683,444.710273,26.42449998,7.449354135,166.4135504,41.0456895,60.33234639
Rusitec-T48_168h_2,0,615.247642,454.8067935,24.80508527,5.789186902,168.4069466,38.23584865,64.04544183
Rusitec-T48_168h_3,0,723.7043825,524.299085,16.26424642,16.06340163,185.3008284,35.76758976,72.86382356
Rusitec-T48_168h_4,0,708.944374,431.3907819,29.25127771,0,223.3247119,45.87464808,67.13315164
