Point,Date,Time,Hour,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,2019-03-07,12:22:00 PM,0,6.59,6.52,6.48,6.6,6.64,6.55,6.5,6.6,6.61,6.57,6.62,6.71
2,2019-03-07,12:23:00 PM,0,6.58,6.51,6.47,6.6,6.63,6.55,6.49,6.59,6.6,6.56,6.61,6.7
3,2019-03-07,12:24:00 PM,0,6.57,6.51,6.47,6.59,6.62,6.54,6.48,6.58,6.59,6.55,6.6,6.69
4,2019-03-07,12:25:00 PM,0,6.57,6.5,6.46,6.58,6.62,6.53,6.47,6.58,6.58,6.54,6.59,6.68
5,2019-03-07,12:26:00 PM,0,6.56,6.49,6.45,6.58,6.61,6.53,6.46,6.57,6.57,6.53,6.58,6.67
6,2019-03-07,12:27:00 PM,0,6.56,6.49,6.45,6.57,6.61,6.52,6.46,6.56,6.56,6.53,6.57,6.66
7,2019-03-07,12:28:00 PM,0,6.55,6.49,6.44,6.56,6.6,6.51,6.45,6.55,6.55,6.52,6.56,6.65
8,2019-03-07,12:29:00 PM,0,6.55,6.48,6.43,6.56,6.59,6.51,6.45,6.54,6.55,6.51,6.56,6.64
9,2019-03-07,12:30:00 PM,0,6.54,6.47,6.43,6.55,6.58,6.5,6.44,6.54,6.54,6.51,6.55,6.63
10,2019-03-07,12:31:00 PM,0,6.54,6.47,6.42,6.55,6.58,6.49,6.43,6.53,6.53,6.5,6.54,6.62
11,2019-03-07,12:32:00 PM,0,6.53,6.47,6.42,6.54,6.57,6.49,6.42,6.53,6.52,6.5,6.53,6.61
12,2019-03-07,12:33:00 PM,0,6.53,6.46,6.41,6.53,6.56,6.48,6.42,6.52,6.52,6.49,6.53,6.6
13,2019-03-07,12:34:00 PM,0,6.52,6.46,6.4,6.53,6.56,6.47,6.41,6.51,6.51,6.49,6.52,6.6
14,2019-03-07,12:35:00 PM,0,6.52,6.45,6.4,6.52,6.55,6.47,6.4,6.5,6.5,6.48,6.51,6.59
15,2019-03-07,12:36:00 PM,0,6.51,6.45,6.39,6.52,6.54,6.46,6.4,6.5,6.5,6.48,6.51,6.58
