id,counts,reactor,day
01-144-B1,3439620,1,7
01-144-B2,2988400,2,7
01-144-B3,3205410,3,7
01-144-B4,3821350,4,7
01-144-B5,4942070,5,7
01-144-B6,67100,6,7
01-144-B7,4334930,7,7
01-144-B8,3114880,8,7
01-144-B9,3421260,9,7
01-144-B10,2940220,10,7
01-144-B11,3466550,11,7
01-144-B12,3223780,12,7
01-168-C1,3786040,1,8
01-168-C2,2905170,2,8
01-168-C3,3923670,3,8
01-168-C4,3674610,4,8
01-168-C5,3147640,5,8
01-168-C6,2904080,6,8
01-168-C7,3463910,7,8
01-168-C8,3489040,8,8
01-168-C9,3990370,9,8
01-168-C10,2390130,10,8
01-168-C11,3806090,11,8
01-168-C12,2989800,12,8
01-192-D1,3645870,1,9
01-192-D2,3481230,2,9
01-192-D3,5238550,3,9
01-192-D4,4673480,4,9
01-192-D5,2402300,5,9
01-192-D6,3023160,6,9
01-192-D7,4049380,7,9
01-192-D8,2823330,8,9
01-192-D9,3416350,9,9
01-192-D10,2919830,10,9
01-192-D11,3824120,11,9
01-192-D12,3071980,12,9
01-216-E1,2696490,1,10
01-216-E2,1978530,2,10
01-216-E3,3626940,3,10
01-216-E4,4771570,4,10
01-216-E5,2829450,5,10
01-216-E6,2968450,6,10
01-216-E7,3076250,7,10
01-216-E8,3021130,8,10
01-216-E9,2202040,9,10
01-216-E10,3765880,10,10
01-216-E11,3020320,11,10
01-216-E12,3746840,12,10
01-240-B1,3036440,1,11
01-240-B2,1980140,2,11
01-240-B3,2621740,3,11
01-240-B4,3929920,4,11
01-240-B5,2732080,5,11
01-240-B6,2524960,6,11
01-240-B7,3441790,7,11
01-240-B8,3532620,8,11
01-240-B9,2735330,9,11
01-240-B10,2247230,10,11
01-240-B11,2823960,11,11
01-240-B12,2696710,12,11
01-264-C1,2593200,1,12
01-264-C2,2021200,2,12
01-264-C3,2475390,3,12
01-264-C4,3865080,4,12
01-264-C5,2598150,5,12
01-264-C6,2507900,6,12
01-264-C7,2305660,7,12
01-264-C8,2190550,8,12
01-264-C9,3336960,9,12
01-264-C10,2561960,10,12
01-264-C11,3151700,11,12
01-264-C12,2446500,12,12
01-288-D1,2734690,1,13
01-288-D2,1720400,2,13
01-288-D3,2563210,3,13
01-288-D4,3191490,4,13
01-288-D5,2045700,5,13
01-288-D6,2440760,6,13
01-288-D7,2620150,7,13
01-288-D8,2647500,8,13
01-288-D9,1989400,9,13
01-288-D10,2184550,10,13
01-288-D11,2401160,11,13
01-288-D12,2612760,12,13
01-312-E1,2065790,1,14
01-312-E2,1777210,2,14
01-312-E3,1939180,3,14
01-312-E4,2682810,4,14
01-312-E5,2496710,5,14
01-312-E6,2387810,6,14
01-312-E7,2141670,7,14
01-312-E8,2479230,8,14
01-312-E9,1753830,9,14
01-312-E10,1874300,10,14
01-312-E11,2738080,11,14
01-312-E12,2153480,12,14
