ID,Sample,Run,Day,Phase,Additive,CowNo,CowName,Extraction
1,Papilla,Run-1,0,Baseline,Control,Cow-1,Elsa,20.09.
2,Papilla,Run-1,0,Baseline,Control,Cow-2,Nelda,20.09.
3,Papilla,Run-1,0,Baseline,Yeast,Cow-3,Ricki,20.09.
4,Papilla,Run-1,0,Baseline,Yeast,Cow-4,Edit,20.09.
5,Papilla,Run-1,0,Baseline,Phyto,Cow-5,Narbe,21.09.
6,Papilla,Run-1,0,Baseline,Phyto,Cow-6,Bergrose,21.09.
7,Papilla,Run-1,0,Baseline,EB,Cow-7,Elfi,21.09.
8,Papilla,Run-1,0,Baseline,EB,Cow-8,Newada,21.09.
9,Papilla,Run-1,13,SARA_I,Control,Cow-1,Elsa,21.09.
10,Papilla,Run-1,13,SARA_I,Control,Cow-2,Nelda,21.09.
11,Papilla,Run-1,13,SARA_I,Yeast,Cow-3,Ricki,21.09.
12,Papilla,Run-1,13,SARA_I,Yeast,Cow-4,Edit,21.09.
13,Papilla,Run-1,13,SARA_I,Phyto,Cow-5,Narbe,21.09.
14,Papilla,Run-1,13,SARA_I,Phyto,Cow-6,Bergrose,21.09.
15,Papilla,Run-1,13,SARA_I,EB,Cow-7,Elfi,21.09.
16,Papilla,Run-1,13,SARA_I,EB,Cow-8,Newada,21.09.
17,Papilla,Run-1,33,SARA_II,Control,Cow-1,Elsa,10.08.
18,Papilla,Run-1,33,SARA_II,Control,Cow-2,Nelda,10.08.
19,Papilla,Run-1,33,SARA_II,Yeast,Cow-3,Ricki,10.08.
20,Papilla,Run-1,33,SARA_II,Yeast,Cow-4,Edit,10.08.
21,Papilla,Run-1,33,SARA_II,Phyto,Cow-5,Narbe,11.08.
22,Papilla,Run-1,33,SARA_II,Phyto,Cow-6,Bergrose,11.08.
23,Papilla,Run-1,33,SARA_II,EB,Cow-7,Elfi,11.08.
24,Papilla,Run-1,33,SARA_II,EB,Cow-8,Newada,11.08.
25,Papilla,Run-2,0,Baseline,Control,Cow-1,Ricki,11.08.
