# Constructed from biom file
#OTU ID	P1	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P2	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P3	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P4	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P5	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P6	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P7	P70	P71	P72	P73	P74	P75	P76	P77	P78	P79	P8	P80	P81	P82	P83	P84	P85	P86	P87	P88	P89	P9	P90	P91	P92	P93	P94	P95	P96
48d3b461d7fae6a1294a6214817c12e8	1906.0	41.0	129.0	212.0	62.0	3553.0	1225.0	25.0	4441.0	185.0	1247.0	511.0	398.0	724.0	139.0	389.0	1118.0	5311.0	10016.0	7808.0	6398.0	7826.0	1012.0	6961.0	4228.0	3892.0	0.0	291.0	2405.0	200.0	4017.0	74.0	0.0	752.0	19.0	103.0	33.0	130.0	8.0	83.0	91.0	38.0	397.0	371.0	579.0	4497.0	4297.0	3020.0	6691.0	2501.0	2929.0	3575.0	43.0	57.0	116.0	627.0	47.0	235.0	0.0	9.0	87.0	299.0	208.0	111.0	360.0	2937.0	630.0	1887.0	1127.0	1275.0	3475.0	2834.0	1688.0	2952.0	3227.0	675.0	3984.0	1489.0	970.0	15.0	62.0	10.0	22.0	16.0	0.0	73.0	40.0	702.0	67.0	64.0	88.0	129.0	23.0	663.0	320.0	205.0
6cbd388610e4c0e2359a1b9a1c0021f4	2224.0	605.0	1821.0	1428.0	917.0	171.0	1809.0	368.0	274.0	1515.0	412.0	1298.0	1183.0	3634.0	496.0	1012.0	158.0	1273.0	3047.0	1216.0	1222.0	1740.0	1397.0	734.0	709.0	932.0	380.0	389.0	2915.0	726.0	350.0	282.0	210.0	1496.0	55.0	504.0	497.0	720.0	371.0	2176.0	35.0	13.0	37.0	138.0	103.0	1458.0	3878.0	3149.0	1191.0	545.0	391.0	1504.0	106.0	176.0	2327.0	1696.0	175.0	1924.0	402.0	171.0	542.0	1405.0	1473.0	1730.0	1676.0	466.0	1936.0	850.0	671.0	764.0	575.0	703.0	2132.0	1157.0	748.0	1669.0	346.0	657.0	562.0	425.0	508.0	300.0	134.0	392.0	161.0	1555.0	78.0	108.0	141.0	322.0	229.0	86.0	13.0	78.0	22.0	293.0
1e44ec945976c4647b350a53b1b22ac1	1324.0	802.0	2758.0	696.0	90.0	1702.0	3244.0	1968.0	5338.0	3721.0	3859.0	456.0	2776.0	2221.0	237.0	2287.0	2722.0	1305.0	3257.0	2205.0	1385.0	3471.0	1293.0	3284.0	1217.0	6179.0	84.0	1124.0	1669.0	1296.0	862.0	1352.0	0.0	520.0	35.0	139.0	50.0	98.0	64.0	281.0	31.0	417.0	156.0	259.0	139.0	5339.0	1375.0	1207.0	2387.0	3242.0	1293.0	405.0	30.0	117.0	34.0	944.0	78.0	600.0	0.0	0.0	39.0	496.0	0.0	114.0	566.0	895.0	1048.0	1207.0	1146.0	3269.0	870.0	1072.0	511.0	723.0	770.0	133.0	505.0	636.0	377.0	53.0	232.0	47.0	98.0	0.0	39.0	265.0	65.0	249.0	64.0	158.0	88.0	351.0	19.0	1204.0	44.0	214.0
d3017630dfffc982697e75c5b53334ea	404.0	660.0	1172.0	720.0	48.0	1563.0	1870.0	1897.0	2093.0	677.0	1555.0	321.0	1044.0	350.0	3377.0	998.0	5499.0	948.0	1351.0	1687.0	1984.0	1755.0	212.0	2594.0	582.0	2345.0	46.0	410.0	1570.0	2112.0	943.0	451.0	42.0	208.0	96.0	212.0	131.0	261.0	58.0	295.0	134.0	74.0	196.0	101.0	43.0	1485.0	1110.0	1807.0	501.0	1861.0	861.0	1008.0	103.0	205.0	578.0	381.0	326.0	280.0	35.0	78.0	139.0	894.0	840.0	1008.0	701.0	1522.0	306.0	5323.0	2859.0	1739.0	548.0	475.0	572.0	372.0	525.0	397.0	431.0	332.0	542.0	0.0	200.0	22.0	89.0	27.0	106.0	176.0	208.0	269.0	420.0	290.0	88.0	272.0	348.0	574.0	96.0	392.0
38aa0815c8c4b0d185d53996c57f353e	379.0	398.0	344.0	410.0	0.0	302.0	438.0	353.0	177.0	675.0	1896.0	145.0	502.0	959.0	1613.0	746.0	2741.0	710.0	397.0	335.0	214.0	696.0	311.0	2073.0	220.0	1323.0	732.0	688.0	248.0	2959.0	163.0	306.0	148.0	135.0	0.0	118.0	172.0	85.0	0.0	630.0	504.0	0.0	0.0	166.0	56.0	774.0	348.0	556.0	642.0	661.0	518.0	279.0	78.0	111.0	815.0	356.0	40.0	210.0	726.0	359.0	135.0	242.0	363.0	1058.0	586.0	517.0	388.0	317.0	847.0	3075.0	471.0	618.0	506.0	139.0	533.0	299.0	154.0	129.0	181.0	0.0	59.0	0.0	619.0	57.0	67.0	132.0	154.0	63.0	132.0	47.0	0.0	0.0	77.0	82.0	0.0	77.0
fbb36ff42917ef35981ff7b40fab5773	188.0	198.0	275.0	203.0	0.0	560.0	774.0	646.0	1274.0	425.0	792.0	217.0	579.0	192.0	1358.0	772.0	2187.0	674.0	1184.0	1135.0	1043.0	1517.0	159.0	1245.0	375.0	1928.0	0.0	252.0	1064.0	677.0	955.0	316.0	0.0	102.0	128.0	167.0	71.0	126.0	28.0	82.0	61.0	27.0	75.0	42.0	20.0	1166.0	1139.0	665.0	368.0	587.0	239.0	349.0	32.0	106.0	361.0	132.0	166.0	126.0	0.0	40.0	42.0	302.0	270.0	579.0	233.0	1143.0	120.0	1556.0	568.0	471.0	496.0	216.0	406.0	320.0	123.0	130.0	456.0	144.0	394.0	0.0	81.0	20.0	31.0	0.0	0.0	175.0	116.0	125.0	166.0	70.0	51.0	137.0	60.0	343.0	41.0	206.0
d0d805ede432aabdbd88311d3e6846d1	0.0	593.0	23.0	15.0	0.0	212.0	1846.0	12.0	2.0	495.0	0.0	0.0	0.0	131.0	9.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	8339.0	9.0	110.0	0.0	153.0	41.0	0.0	16.0	13.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	13.0	116.0	0.0	577.0	9.0	98.0	17.0	2429.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	20.0	17.0	0.0	0.0	336.0	0.0	973.0	8.0	0.0	0.0	0.0	0.0	0.0	38.0
c3f09e72d5fea3b89f9354786f3b5957	84.0	1227.0	530.0	123.0	36.0	150.0	702.0	801.0	80.0	878.0	328.0	38.0	96.0	695.0	3912.0	2859.0	842.0	200.0	180.0	271.0	201.0	418.0	87.0	372.0	110.0	520.0	1157.0	3432.0	285.0	1882.0	58.0	1738.0	775.0	38.0	221.0	36.0	85.0	60.0	5.0	391.0	21.0	7.0	23.0	22.0	0.0	289.0	262.0	176.0	60.0	236.0	89.0	52.0	324.0	2095.0	2910.0	45.0	304.0	196.0	367.0	135.0	578.0	801.0	1006.0	686.0	807.0	1233.0	47.0	263.0	757.0	2120.0	54.0	204.0	180.0	72.0	115.0	16.0	60.0	45.0	29.0	21.0	43.0	36.0	260.0	109.0	203.0	172.0	314.0	234.0	392.0	0.0	8.0	24.0	0.0	44.0	0.0	318.0
6faf464780b148292a976d6f7d7e296a	1050.0	14.0	32.0	82.0	0.0	50.0	567.0	27.0	315.0	37.0	110.0	35.0	43.0	784.0	9.0	125.0	24.0	1467.0	3311.0	1884.0	1109.0	2876.0	444.0	815.0	1168.0	519.0	20.0	151.0	289.0	26.0	240.0	29.0	0.0	407.0	14.0	20.0	6.0	15.0	0.0	126.0	0.0	9.0	10.0	48.0	48.0	767.0	1844.0	222.0	1695.0	163.0	156.0	561.0	72.0	11.0	976.0	326.0	204.0	291.0	0.0	11.0	192.0	139.0	56.0	54.0	40.0	390.0	438.0	224.0	474.0	579.0	667.0	333.0	376.0	192.0	670.0	299.0	875.0	318.0	105.0	23.0	18.0	17.0	13.0	0.0	13.0	112.0	8.0	54.0	66.0	10.0	15.0	11.0	6.0	39.0	4.0	78.0
c031f6f676f80a320caf1057bf680d54	179.0	582.0	143.0	166.0	0.0	177.0	534.0	496.0	568.0	625.0	102.0	36.0	396.0	589.0	534.0	6396.0	300.0	391.0	487.0	553.0	176.0	1034.0	93.0	480.0	73.0	814.0	29.0	356.0	461.0	288.0	418.0	106.0	111.0	156.0	815.0	6.0	28.0	43.0	0.0	164.0	0.0	0.0	34.0	43.0	17.0	615.0	218.0	175.0	232.0	173.0	235.0	63.0	87.0	356.0	144.0	295.0	104.0	177.0	26.0	282.0	125.0	409.0	132.0	500.0	138.0	128.0	182.0	396.0	463.0	486.0	67.0	161.0	242.0	62.0	143.0	56.0	147.0	76.0	44.0	0.0	25.0	15.0	46.0	25.0	166.0	72.0	74.0	111.0	240.0	0.0	8.0	75.0	7.0	74.0	13.0	17.0
ba9ebe8085da3dc00830d5587253c0f4	0.0	1380.0	199.0	35.0	37.0	12.0	40.0	17.0	0.0	585.0	131.0	0.0	31.0	1460.0	701.0	80.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1082.0	2098.0	11.0	351.0	5.0	249.0	1592.0	0.0	4.0	84.0	7.0	20.0	0.0	567.0	15.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	828.0	124.0	362.0	0.0	1686.0	28.0	581.0	222.0	286.0	29.0	24.0	142.0	10.0	53.0	0.0	0.0	25.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	6.0	49.0	20.0	11.0	92.0	26.0	75.0	105.0	19.0	0.0	0.0	0.0	0.0	0.0	51.0
02e13c76d7ff4ed39a9888205bf8b94c	95.0	297.0	160.0	105.0	0.0	129.0	484.0	1218.0	975.0	169.0	360.0	55.0	553.0	368.0	2076.0	1218.0	353.0	93.0	381.0	685.0	62.0	342.0	69.0	270.0	45.0	229.0	0.0	138.0	247.0	971.0	123.0	184.0	0.0	57.0	54.0	11.0	0.0	17.0	0.0	81.0	0.0	0.0	0.0	10.0	0.0	400.0	185.0	181.0	68.0	213.0	100.0	11.0	13.0	57.0	148.0	94.0	268.0	103.0	0.0	102.0	52.0	235.0	138.0	216.0	27.0	64.0	36.0	337.0	181.0	372.0	42.0	200.0	47.0	95.0	87.0	95.0	115.0	62.0	128.0	28.0	19.0	0.0	70.0	30.0	85.0	110.0	178.0	45.0	75.0	0.0	0.0	67.0	0.0	70.0	0.0	45.0
3f3fc204cc5151097c751442bba7aa62	128.0	197.0	53.0	57.0	8.0	238.0	107.0	56.0	97.0	89.0	88.0	71.0	42.0	15.0	677.0	165.0	266.0	226.0	168.0	229.0	205.0	278.0	34.0	81.0	0.0	321.0	2.0	20.0	186.0	0.0	185.0	77.0	9.0	18.0	6.0	52.0	32.0	76.0	13.0	78.0	34.0	11.0	6.0	0.0	0.0	90.0	1587.0	579.0	98.0	239.0	13.0	97.0	10.0	112.0	79.0	121.0	15.0	15.0	0.0	2.0	0.0	167.0	394.0	155.0	69.0	110.0	65.0	404.0	204.0	169.0	261.0	262.0	289.0	758.0	160.0	186.0	713.0	38.0	1589.0	0.0	103.0	0.0	6.0	0.0	5.0	33.0	0.0	57.0	238.0	27.0	0.0	46.0	18.0	39.0	0.0	25.0
33346f3df33832a7708c65017bf5a2f7	33.0	636.0	362.0	162.0	26.0	23.0	198.0	63.0	117.0	1710.0	548.0	37.0	153.0	247.0	600.0	101.0	170.0	25.0	85.0	88.0	69.0	291.0	34.0	92.0	0.0	108.0	635.0	3836.0	91.0	350.0	26.0	1670.0	58.0	27.0	35.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	145.0	44.0	83.0	0.0	64.0	0.0	32.0	14.0	82.0	305.0	75.0	49.0	44.0	28.0	96.0	29.0	177.0	0.0	986.0	84.0	15.0	70.0	105.0	162.0	878.0	13.0	66.0	0.0	12.0	8.0	0.0	0.0	17.0	0.0	0.0	74.0	0.0	26.0	38.0	25.0	24.0	15.0	36.0	81.0	24.0	5.0	10.0	0.0	30.0	0.0	198.0
d601969a8dd5769d3f7a4d1416a21093	85.0	37.0	172.0	62.0	0.0	401.0	465.0	29.0	361.0	39.0	171.0	94.0	108.0	134.0	222.0	200.0	483.0	119.0	337.0	191.0	466.0	434.0	85.0	604.0	91.0	424.0	0.0	123.0	205.0	128.0	115.0	59.0	0.0	56.0	11.0	15.0	0.0	11.0	0.0	10.0	0.0	0.0	17.0	13.0	8.0	265.0	155.0	255.0	54.0	533.0	175.0	76.0	12.0	18.0	50.0	89.0	34.0	77.0	0.0	17.0	15.0	222.0	31.0	59.0	240.0	174.0	85.0	391.0	721.0	295.0	72.0	260.0	76.0	70.0	61.0	17.0	123.0	71.0	94.0	0.0	0.0	0.0	0.0	12.0	32.0	44.0	11.0	36.0	49.0	0.0	9.0	27.0	0.0	91.0	0.0	22.0
8d34e239858c08137a478ca0750d0fda	19.0	256.0	304.0	114.0	12.0	17.0	31.0	45.0	76.0	95.0	35.0	15.0	75.0	992.0	93.0	233.0	72.0	54.0	83.0	41.0	24.0	281.0	72.0	149.0	84.0	95.0	1145.0	360.0	142.0	209.0	46.0	2092.0	273.0	27.0	27.0	19.0	18.0	0.0	0.0	380.0	0.0	0.0	0.0	16.0	16.0	222.0	43.0	37.0	27.0	52.0	68.0	14.0	37.0	70.0	759.0	27.0	185.0	55.0	15.0	151.0	116.0	47.0	167.0	457.0	96.0	34.0	25.0	28.0	12.0	53.0	30.0	20.0	35.0	44.0	65.0	0.0	13.0	34.0	33.0	13.0	31.0	20.0	86.0	0.0	27.0	15.0	19.0	16.0	43.0	10.0	0.0	0.0	26.0	14.0	0.0	39.0
293ae49fb045196a865c3993696a5736	63.0	88.0	120.0	238.0	156.0	188.0	73.0	100.0	160.0	124.0	277.0	0.0	273.0	308.0	274.0	162.0	308.0	430.0	350.0	231.0	563.0	228.0	61.0	272.0	359.0	261.0	334.0	118.0	294.0	253.0	174.0	274.0	292.0	60.0	346.0	104.0	164.0	221.0	207.0	152.0	234.0	208.0	164.0	538.0	52.0	590.0	349.0	352.0	470.0	586.0	501.0	660.0	383.0	541.0	282.0	53.0	639.0	231.0	329.0	195.0	259.0	303.0	412.0	342.0	369.0	301.0	67.0	380.0	238.0	302.0	392.0	272.0	203.0	495.0	398.0	381.0	257.0	60.0	230.0	94.0	111.0	59.0	55.0	42.0	60.0	0.0	0.0	0.0	170.0	58.0	45.0	0.0	0.0	0.0	0.0	0.0
7f5fc1712a3211417e2ba35256fcec90	163.0	133.0	199.0	130.0	0.0	445.0	622.0	123.0	615.0	83.0	265.0	48.0	131.0	79.0	543.0	287.0	526.0	231.0	615.0	433.0	401.0	398.0	48.0	665.0	159.0	639.0	0.0	160.0	228.0	115.0	193.0	81.0	0.0	45.0	0.0	34.0	29.0	50.0	0.0	16.0	23.0	11.0	35.0	64.0	10.0	429.0	363.0	292.0	150.0	371.0	170.0	162.0	12.0	29.0	97.0	130.0	42.0	40.0	0.0	19.0	16.0	110.0	57.0	75.0	77.0	274.0	67.0	445.0	182.0	210.0	286.0	76.0	90.0	151.0	64.0	57.0	140.0	113.0	74.0	0.0	26.0	0.0	17.0	0.0	6.0	36.0	15.0	57.0	77.0	15.0	0.0	40.0	0.0	125.0	0.0	46.0
c2e488bdaf896b1d4976298156259f3c	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	223.0	227.0	209.0	372.0	27.0	2468.0	132.0	562.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1333.0	20.0	224.0	193.0	162.0	463.0	95.0	303.0	32.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	238.0	759.0	1053.0	966.0	56.0	0.0	23.0	59.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3fc45ea460a2e63d801d42cdfe8250ed	146.0	52.0	147.0	54.0	0.0	284.0	323.0	116.0	449.0	86.0	550.0	86.0	491.0	156.0	0.0	1004.0	107.0	397.0	783.0	307.0	253.0	454.0	105.0	266.0	243.0	479.0	57.0	336.0	235.0	447.0	135.0	0.0	78.0	112.0	0.0	30.0	16.0	0.0	0.0	25.0	0.0	0.0	31.0	63.0	42.0	228.0	591.0	710.0	160.0	361.0	267.0	54.0	16.0	78.0	23.0	86.0	26.0	132.0	0.0	35.0	0.0	0.0	81.0	0.0	116.0	182.0	145.0	18.0	122.0	115.0	66.0	160.0	27.0	91.0	89.0	0.0	0.0	50.0	68.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	23.0	19.0	0.0	35.0	11.0	0.0
5ca6b471e06d1195fe9b4778e72871ed	0.0	10.0	54.0	29.0	0.0	0.0	0.0	204.0	0.0	207.0	281.0	0.0	196.0	5.0	338.0	393.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1943.0	126.0	0.0	675.0	0.0	141.0	222.0	0.0	0.0	7.0	11.0	0.0	0.0	253.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	60.0	1199.0	0.0	204.0	0.0	212.0	200.0	80.0	283.0	19.0	523.0	290.0	40.0	0.0	156.0	226.0	1154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	24.0	4.0	29.0	62.0	103.0	28.0	0.0	0.0	15.0	0.0	0.0	5.0	7.0	0.0	44.0
