# Constructed from biom file
#OTU ID	11L2	11L3	11S1	12L2	12S1	13L2	13S1	14L2	14S1	15S1	21L1	21S2	21S3	22L1	22S2	23L1	23S2	24L1	24S2	25S2	31L2	31L3	31S1	32L2	32S1	33L2	33S1	34L2	34S1	35S1	41L1	41S2	41S3	42L1	42S2	43L1	43S2	44L1	44S2	45S2	51L2	51L3	51S1	52L2	52S1	53L2	53S1	54L2	54S1	55S1	61L1	61S2	61S3	62L1	62S2	63L1	63S2	64L1	64S2	65S2	71L2	71L3	71S1	72L2	72S1	73L2	73S1	74L2	74S1	75S1	81L1	81S2	81S3	82L1	82S2	83L1	83S2	84L1	84S2	85S2
5ab92440a14aed486d562c4666e91930	8819.0	7511.0	9045.0	4903.0	9941.0	8270.0	8447.0	5415.0	18918.0	11603.0	11414.0	25564.0	9616.0	6687.0	4620.0	6116.0	8421.0	8410.0	22478.0	5418.0	19289.0	6428.0	19325.0	15911.0	3145.0	5829.0	6015.0	10015.0	5875.0	2374.0	9942.0	13578.0	1803.0	5213.0	18870.0	12851.0	9218.0	8661.0	11520.0	2764.0	13432.0	35246.0	18558.0	13009.0	11899.0	7361.0	3502.0	10672.0	3933.0	9411.0	23290.0	21839.0	12412.0	10268.0	21591.0	11463.0	6933.0	15112.0	7241.0	18597.0	6464.0	17782.0	7692.0	3667.0	13806.0	25381.0	3408.0	11815.0	10613.0	11689.0	10853.0	12103.0	2659.0	6260.0	8068.0	9975.0	18623.0	5572.0	11999.0	7403.0
defd3361aa976064f6ce459725a222a6	3916.0	1457.0	1776.0	3205.0	4371.0	884.0	1820.0	4010.0	869.0	2928.0	6295.0	9988.0	3178.0	6647.0	3695.0	5495.0	1619.0	3792.0	1475.0	6437.0	3707.0	2583.0	4011.0	2479.0	4070.0	3283.0	5809.0	4538.0	8629.0	570.0	2081.0	6133.0	303.0	2517.0	588.0	1195.0	7212.0	2255.0	847.0	1778.0	2151.0	4136.0	5655.0	6262.0	2501.0	425.0	3292.0	3510.0	736.0	1652.0	3290.0	8714.0	3430.0	3737.0	2444.0	3562.0	1610.0	6331.0	3256.0	11359.0	2909.0	2807.0	2720.0	389.0	3062.0	4410.0	1417.0	2400.0	3480.0	5015.0	2448.0	2931.0	396.0	1172.0	722.0	803.0	1087.0	3044.0	3808.0	885.0
9ae317732e6c60164240bbc9726669de	722.0	1334.0	341.0	1029.0	648.0	497.0	1555.0	2471.0	986.0	530.0	1157.0	874.0	1854.0	4852.0	1391.0	631.0	2866.0	884.0	290.0	2336.0	4094.0	4539.0	914.0	1238.0	1320.0	337.0	537.0	1498.0	908.0	237.0	1184.0	1907.0	317.0	1720.0	575.0	5126.0	3302.0	1394.0	2392.0	249.0	976.0	4587.0	2357.0	3936.0	1128.0	230.0	927.0	611.0	315.0	881.0	8548.0	8771.0	1945.0	1797.0	1684.0	246.0	688.0	885.0	227.0	2024.0	1593.0	2611.0	1318.0	502.0	939.0	1854.0	323.0	222.0	2650.0	918.0	873.0	745.0	913.0	827.0	305.0	1398.0	544.0	897.0	3467.0	865.0
611dbaf5cc9a89e698f66556b29db249	5557.0	1557.0	2527.0	1975.0	2131.0	1123.0	3168.0	3212.0	2416.0	2697.0	8048.0	6628.0	4520.0	3108.0	1943.0	1953.0	2756.0	4333.0	1453.0	6376.0	12263.0	2951.0	21053.0	4918.0	4535.0	10763.0	5768.0	6123.0	7844.0	1127.0	7927.0	9285.0	509.0	1529.0	2063.0	2721.0	1871.0	5410.0	3426.0	1104.0	6330.0	8164.0	18354.0	4775.0	6416.0	3669.0	2507.0	4131.0	1150.0	7376.0	5069.0	6377.0	4555.0	2309.0	2861.0	7366.0	1695.0	7380.0	6209.0	8138.0	5023.0	10740.0	7275.0	759.0	4030.0	12710.0	1728.0	11544.0	3815.0	3896.0	10098.0	2793.0	669.0	774.0	1063.0	3172.0	2070.0	2314.0	5608.0	1102.0
31bb7829dbcfcc380b3b10ae9732db3a	637.0	1765.0	463.0	1586.0	279.0	871.0	825.0	1097.0	1663.0	153.0	962.0	604.0	170.0	814.0	8213.0	417.0	1164.0	663.0	479.0	1019.0	1249.0	2870.0	777.0	2001.0	813.0	300.0	295.0	1089.0	4291.0	988.0	355.0	1677.0	18.0	1523.0	1250.0	1065.0	1221.0	3230.0	256.0	1268.0	2525.0	5769.0	1970.0	6351.0	2053.0	1254.0	1821.0	5213.0	209.0	1577.0	407.0	963.0	236.0	1523.0	4072.0	214.0	394.0	293.0	259.0	1823.0	307.0	307.0	2548.0	719.0	918.0	2552.0	2610.0	593.0	3391.0	5129.0	1212.0	395.0	144.0	2833.0	2260.0	922.0	3966.0	1952.0	1981.0	1186.0
474f32be7bd3436235fc4333c9dc6a87	103.0	149.0	154.0	1731.0	1324.0	2440.0	277.0	4535.0	975.0	85.0	154.0	242.0	7.0	551.0	6595.0	7380.0	184.0	762.0	464.0	4593.0	181.0	2031.0	2027.0	3154.0	2105.0	1195.0	629.0	3031.0	2581.0	335.0	398.0	1528.0	14.0	771.0	1530.0	240.0	1943.0	5906.0	284.0	1015.0	2071.0	377.0	2966.0	2654.0	1145.0	466.0	2157.0	2738.0	435.0	4012.0	238.0	190.0	56.0	414.0	5267.0	348.0	198.0	193.0	732.0	3366.0	719.0	0.0	2507.0	1185.0	2998.0	5964.0	919.0	787.0	1744.0	7221.0	76.0	150.0	56.0	800.0	641.0	629.0	1687.0	491.0	973.0	1092.0
e4c97f91f05290aaa53441727ad859cd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	53.0	49.0	8627.0	24.0	627.0	187.0	7.0	131.0	0.0	0.0	0.0	0.0	184.0	11.0	10.0	1113.0	0.0	0.0	11.0	17.0	11.0	2507.0	28411.0	104.0	51.0	7476.0	0.0	0.0	0.0	0.0	10.0	16.0	6278.0	8.0	147.0	2318.0	16.0	0.0	0.0	0.0	0.0	0.0	10616.0	0.0	0.0	51.0	0.0	0.0	27.0	0.0	0.0	24.0	7673.0	11.0	6.0	353.0	518.0
949d09b871432bf9944290d75920116f	2990.0	1489.0	467.0	2250.0	1274.0	1953.0	1444.0	801.0	2800.0	1049.0	806.0	2096.0	1687.0	1438.0	1849.0	1057.0	4822.0	2248.0	678.0	510.0	2251.0	1725.0	1592.0	5848.0	619.0	4805.0	1358.0	1422.0	694.0	929.0	960.0	1563.0	788.0	1107.0	4721.0	1451.0	3349.0	1358.0	1460.0	708.0	541.0	868.0	562.0	2129.0	1348.0	2522.0	4079.0	2314.0	702.0	899.0	1423.0	2559.0	2254.0	1305.0	1420.0	1184.0	2560.0	1640.0	2782.0	1816.0	1038.0	817.0	580.0	1723.0	1587.0	2903.0	2195.0	1088.0	2727.0	1092.0	1090.0	1659.0	1462.0	1332.0	1165.0	1099.0	2114.0	1437.0	1885.0	2244.0
02549d00cc49f7e04e52948695e8bb1b	123.0	25.0	0.0	1094.0	109.0	619.0	1935.0	22.0	0.0	44.0	12.0	232.0	0.0	2381.0	304.0	764.0	3269.0	9.0	74.0	16.0	47.0	12.0	83.0	5888.0	130.0	722.0	11313.0	21.0	134.0	0.0	18.0	62.0	17.0	1621.0	766.0	0.0	2983.0	250.0	0.0	11.0	0.0	0.0	13.0	2423.0	263.0	0.0	7337.0	16.0	29.0	24.0	52.0	32.0	17.0	155.0	403.0	301.0	14284.0	45.0	0.0	0.0	41.0	10.0	35.0	206.0	154.0	152.0	568.0	48.0	86.0	0.0	64.0	42.0	0.0	10.0	72.0	37.0	2253.0	38.0	0.0	38.0
065e4a83e393a7b2db86a1f5318c0dc6	1410.0	387.0	2078.0	1380.0	400.0	1054.0	331.0	700.0	865.0	466.0	5236.0	2182.0	211.0	930.0	863.0	237.0	243.0	641.0	136.0	1176.0	4366.0	468.0	2888.0	1013.0	1623.0	1065.0	1846.0	1134.0	398.0	262.0	1459.0	1492.0	184.0	675.0	117.0	1843.0	410.0	2011.0	386.0	342.0	2705.0	1137.0	6082.0	977.0	1709.0	460.0	794.0	2114.0	250.0	2600.0	735.0	2083.0	525.0	181.0	516.0	1546.0	534.0	819.0	1853.0	970.0	1375.0	381.0	1039.0	352.0	1300.0	2579.0	1144.0	2318.0	846.0	2567.0	2093.0	1060.0	313.0	127.0	304.0	279.0	177.0	1584.0	1514.0	874.0
