# Constructed from biom file
#OTU ID	ERX594479	ERX594480	ERX594481	ERX594482	ERX594483	ERX594484	ERX594485	ERX594486	ERX594487	ERX594488	ERX594489	ERX594490	ERX594491	ERX594492	ERX594493	ERX594494	ERX594495
6eff0dba2d357a74a94e232fd78e2ece	372.0	1467.0	43.0	795.0	856.0	102.0	189.0	513.0	585.0	245.0	617.0	335.0	50.0	168.0	76.0	167.0	310.0
b700117df28ef2839bc6118b905e64b0	0.0	32.0	0.0	0.0	609.0	709.0	772.0	2012.0	2134.0	119.0	2631.0	1277.0	0.0	505.0	0.0	71.0	0.0
93cbda2bce612378ac118fb54445c03e	44.0	9.0	478.0	280.0	90.0	471.0	212.0	93.0	250.0	299.0	97.0	80.0	1345.0	275.0	146.0	0.0	291.0
8d538a323876573b6d023bf21ca7b713	10.0	934.0	1319.0	224.0	7.0	287.0	155.0	592.0	42.0	56.0	384.0	0.0	0.0	450.0	0.0	575.0	732.0
60824686921a0f5151cbcee5616ce8e3	38.0	161.0	0.0	206.0	87.0	121.0	260.0	0.0	131.0	865.0	0.0	477.0	17.0	195.0	0.0	19.0	0.0
90ce641365af08edfffe8792ebbbcd53	0.0	10.0	962.0	0.0	8.0	33.0	0.0	0.0	0.0	92.0	0.0	348.0	42.0	0.0	220.0	98.0	615.0
1f11ace9d7b45ee5a32058478ad5e51d	13.0	208.0	0.0	30.0	72.0	0.0	391.0	1095.0	68.0	0.0	36.0	5.0	0.0	233.0	0.0	4.0	0.0
ad57b5683ef682d9afafedc5d3ca9179	122.0	307.0	42.0	461.0	205.0	511.0	225.0	136.0	286.0	22.0	59.0	266.0	61.0	110.0	0.0	16.0	0.0
e183d8cbd457844c8d8cba29669638b6	254.0	360.0	0.0	0.0	63.0	66.0	336.0	0.0	72.0	0.0	24.0	205.0	0.0	15.0	10.0	355.0	0.0
63c3f2b812c8cf6124b89b9df1dc5cd6	48.0	73.0	13.0	37.0	240.0	174.0	110.0	11.0	511.0	103.0	34.0	138.0	29.0	22.0	18.0	65.0	66.0
3f27abf0e3fb7aa65fae35c5572cc167	47.0	0.0	0.0	1342.0	0.0	0.0	26.0	126.0	0.0	0.0	238.0	0.0	264.0	0.0	0.0	0.0	27.0
18bf38288447a0dbec0a1d2bc0993b30	9.0	28.0	289.0	0.0	16.0	367.0	48.0	0.0	26.0	468.0	0.0	90.0	1264.0	6.0	82.0	421.0	173.0
b6dc26acadc0ed6534cd7933fa8b2340	955.0	6.0	0.0	0.0	0.0	20.0	6.0	5.0	9.0	0.0	3.0	114.0	0.0	7.0	11.0	5.0	237.0
961130c2e6c6eefa27786727e1ae1b86	641.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	5.0	97.0	0.0	0.0	41.0	3.0	53.0
1491e62408ad3f4cc227507a2c01afd8	13.0	0.0	0.0	13.0	46.0	0.0	494.0	125.0	0.0	0.0	72.0	27.0	0.0	0.0	0.0	0.0	0.0
4a346500a603155b38e46d15bbb39a53	32.0	57.0	29.0	67.0	15.0	34.0	0.0	19.0	8.0	210.0	59.0	32.0	46.0	7.0	86.0	27.0	45.0
5cbcc2213d66d05d93928e2030eccf6e	198.0	0.0	42.0	0.0	0.0	129.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	23.0	276.0
665d91b42f6ed9f0e61b98479b736576	0.0	0.0	328.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	16.0	171.0	0.0	38.0	14.0	0.0
1a2009cb7f6791d6ea31e58b8d1601e0	861.0	0.0	0.0	74.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0
dc0ee7c9b4ab346b911d318d834a8d5c	75.0	33.0	117.0	0.0	4.0	34.0	8.0	12.0	0.0	27.0	50.0	20.0	180.0	6.0	0.0	33.0	40.0
c57f3ef0fa3ec6e84b0a29e893ed47e0	27.0	0.0	295.0	20.0	0.0	0.0	0.0	0.0	88.0	2.0	16.0	0.0	0.0	146.0	0.0	5.0	0.0
500066c271408d05a4adb275a8cded7b	0.0	0.0	80.0	0.0	0.0	15.0	5.0	0.0	0.0	43.0	17.0	34.0	12.0	30.0	33.0	26.0	162.0
9a816e29fff5f277d70d05e58063a40b	100.0	73.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	15.0	114.0	93.0	14.0	13.0	0.0	0.0
8b6b95202b1a3b4635e3dc7340cd6722	19.0	15.0	54.0	51.0	0.0	0.0	0.0	40.0	0.0	22.0	90.0	35.0	0.0	0.0	17.0	81.0	0.0
6b88e85c8c8b84ae40b19f0273761253	89.0	18.0	0.0	0.0	371.0	17.0	53.0	0.0	19.0	3.0	28.0	0.0	0.0	0.0	174.0	32.0	0.0
b02cdd71fdae6fd6d52dd40706b62541	35.0	4.0	0.0	77.0	4.0	0.0	22.0	0.0	50.0	0.0	50.0	27.0	0.0	16.0	0.0	51.0	0.0
4776533b28b8674c7a155f0483858243	28.0	22.0	23.0	50.0	0.0	32.0	0.0	15.0	0.0	0.0	41.0	15.0	0.0	0.0	0.0	17.0	65.0
b25f64cf998f547f0e41d74e85eaec50	0.0	124.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	22.0	35.0	0.0	26.0	35.0	53.0	7.0
327b23edb4e522c09ceea365f5191bc1	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	17.0	0.0	110.0	12.0	0.0	21.0	0.0	103.0	139.0
57a0e13ebfd60c271fdd232cf83545af	25.0	39.0	53.0	49.0	0.0	27.0	23.0	0.0	0.0	24.0	0.0	0.0	0.0	20.0	0.0	70.0	54.0
5c7e8aa8c79b190509eafaf94900948f	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0
460493dce3433c054d3dcfea467cb34c	0.0	0.0	0.0	51.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d58f9e52581b095829f1cfccf3a044d	0.0	0.0	0.0	109.0	0.0	0.0	0.0	12.0	40.0	0.0	132.0	0.0	0.0	0.0	0.0	9.0	9.0
0229828aac54e590f0a39259767515e9	0.0	109.0	25.0	19.0	12.0	0.0	0.0	0.0	0.0	54.0	6.0	27.0	4.0	0.0	0.0	14.0	26.0
900934dfa275d53aade2c362360353a4	12.0	0.0	0.0	0.0	15.0	0.0	178.0	143.0	0.0	0.0	52.0	6.0	0.0	0.0	0.0	0.0	0.0
05a62117fcd8a4263f1b7308d2612c7f	52.0	66.0	8.0	0.0	9.0	0.0	17.0	0.0	49.0	0.0	0.0	16.0	0.0	12.0	0.0	17.0	0.0
2f3a50f480456e73563cb6da68efe935	49.0	29.0	48.0	0.0	0.0	17.0	0.0	0.0	0.0	16.0	47.0	12.0	53.0	0.0	17.0	50.0	11.0
7c2a830176e1c11c6e08044ebb3b1b94	0.0	61.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	64.0	0.0	17.0
6d7b1a084c63c82180b2157e8241ed99	0.0	21.0	11.0	0.0	37.0	0.0	15.0	0.0	13.0	120.0	0.0	16.0	0.0	0.0	0.0	81.0	16.0
c00391149d1dcec7ac9ff32a50167a1a	49.0	7.0	0.0	0.0	0.0	10.0	18.0	0.0	0.0	27.0	0.0	0.0	78.0	12.0	6.0	20.0	13.0
65c253d148c2243fee124f87c44030c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	11.0	0.0	0.0	0.0
195f73f7859d2c6bef53cabd39fb4522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4a298cdd3c0df2024473d5badc6b8fd7	68.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	28.0	0.0	40.0	0.0
5c6a5477a20bcbd1cb8ff2cb641d2b1a	16.0	41.0	0.0	0.0	24.0	4.0	0.0	0.0	0.0	68.0	0.0	13.0	0.0	0.0	0.0	46.0	0.0
5a0dacb7ef92adb5a636d5441f39c00b	0.0	10.0	23.0	0.0	0.0	0.0	10.0	0.0	0.0	11.0	0.0	10.0	87.0	0.0	36.0	15.0	0.0
262f5af59e4e67886db1bbc08b159ce8	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58d339fbe0c7bdb399a0f39ec1f59d90	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0
20d23ef182413ba0bb678d0dfef76b59	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
db027617d7d7f9c916449503f8cf5017	0.0	0.0	52.0	0.0	4.0	34.0	12.0	0.0	0.0	0.0	40.0	0.0	0.0	9.0	20.0	8.0	0.0
d5c71705e9657b14f0607e5694c0067b	0.0	5.0	0.0	0.0	0.0	0.0	14.0	3.0	41.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	37.0
eb471f57885fa87a9dcf278ec21c96a3	0.0	0.0	16.0	0.0	33.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	55.0	0.0	97.0	0.0	52.0
064ef6b5c20f0e1d701b4e3eee612daf	79.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40268917a74ee693fa7dcbb0a7badde8	0.0	0.0	229.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	181.0	0.0	0.0	0.0	4.0
f26aba1e25b830bff468254f61f053d1	0.0	0.0	0.0	6.0	0.0	22.0	6.0	7.0	11.0	49.0	11.0	0.0	0.0	44.0	0.0	0.0	139.0
227afb65ed7130c49b2b34c84d874b33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	153.0	0.0	0.0
7dec5adb94c8d53d4b9a0f13bd831b24	0.0	0.0	0.0	0.0	37.0	15.0	19.0	0.0	0.0	50.0	40.0	26.0	0.0	0.0	106.0	0.0	0.0
9af3e3cdd55a2dda81af9e2349c69d5a	17.0	15.0	0.0	24.0	0.0	7.0	9.0	0.0	0.0	10.0	27.0	19.0	0.0	8.0	0.0	12.0	0.0
670b03994c778562510043e23d1c3189	0.0	3.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	15.0	0.0	3.0	4.0	0.0	88.0	20.0	0.0
78fda16ce4b98453458dd41c7012df85	0.0	20.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	63.0
1e28a701d542cf2d12850c563544cadc	0.0	8.0	41.0	0.0	3.0	0.0	0.0	0.0	11.0	14.0	0.0	47.0	0.0	0.0	16.0	0.0	0.0
d853ee7febbcd1dca48439bf6110175f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0
