"","accession","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","JQ465782.1.1425","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Kingella","D_6__uncultured bacterium"
"2","JQ471134.1.1407","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"3","JQ456004.1.1395","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"4","HQ400365.1.1511","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured rumen bacterium"
"5","JQ468563.1.1403","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"6","KF071198.1.1368","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"7","AEPI01000088.104.1624","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria lactamica NS19"
"8","JF235709.1.1366","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"9","JQ467426.1.1410","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"10","JQ453167.1.1405","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"11","JF148797.1.1365","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"12","JQ465182.1.1406","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Kingella","D_6__uncultured bacterium"
"13","JQ451124.1.1384","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"14","JQ204620.1.1367","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"15","JQ455592.1.1401","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"16","JF203688.1.1365","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured bacterium"
"17","JQ453291.1.1403","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"18","JQ450689.1.1407","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"19","FJ823143.1.1436","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria subflava"
"20","MTBO01000069.129.1679","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria dentiae"
"21","HM342350.1.1365","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured bacterium"
"22","KF083510.1.1364","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"23","JQ453302.1.1413","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"24","JQ455623.1.1405","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"25","HK557010.10.1532","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Simonsiella","D_6__unidentified"
"26","JQ462229.1.1396","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"27","JQ455652.1.1401","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"28","JQ452754.1.1399","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"29","JQ455301.1.1383","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"30","GQ158287.1.1412","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"31","JQ471404.1.1407","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"32","JQ462722.1.1390","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Kingella","D_6__uncultured bacterium"
"33","KF098154.1.1370","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"34","KF102006.1.1361","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Conchiformibius","D_6__uncultured bacterium"
"35","JF152413.1.1362","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"36","JQ450654.1.1387","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"37","JQ453278.1.1401","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"38","JQ453442.1.1402","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"39","JF117234.1.1362","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"40","JQ958870.1.1334","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria sp. 104(2012)"
"41","JF189482.1.1362","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"42","HM341905.1.1364","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured bacterium"
"43","JF119465.1.1362","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"44","FJ192962.1.1474","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured Neisseria sp."
"45","JQ452073.1.1399","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"46","JN713456.1.1494","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Conchiformibius","D_6__Conchiformibius sp. canine oral taxon 289"
"47","KR870883.1.1473","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured Neisseria sp."
"48","JQ457012.1.1330","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"49","JQ454311.1.1386","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"50","JQ453131.1.1399","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"51","JQ456409.1.1317","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"52","HM342312.1.1364","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured bacterium"
"53","JQ458375.1.1401","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Kingella","D_6__uncultured bacterium"
"54","JF146311.1.1361","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"55","JQ448407.1.1386","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"56","LXSL01000008.227.1777","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Eikenella sp. NML02-A-017"
"57","HM301914.1.1366","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"58","JQ455383.1.1406","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"59","FJ557268.1.1402","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"60","JQ451206.1.1388","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"61","JQ455416.1.1400","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"62","AB722199.1.1352","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured bacterium"
"63","JQ459530.1.1399","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"64","JQ795839.1.1455","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__Neisseria sp. M-S-TSA_21"
"65","JF121433.1.1363","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"66","JQ448526.1.1422","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"67","JQ466742.1.1401","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
"68","EU289059.1.1447","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured","D_6__uncultured Neisseriaceae bacterium"
"69","JQ452078.1.1421","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__Neisseria","D_6__uncultured bacterium"
