id	Identifier	HumanOrAnimal	SkinOrFeces	AnimalAge	WildPack	PetdogOrigin	Antibiotic	Sex	Diet	Contact_to_WSC_animals	Related	chao1
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
H5f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	medium	NA	68
H1f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	medium	NA	104
H6f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	recently	female	NA	seldom	NA	145
H2f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	close	NA	88
H8f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	seldom	NA	190
H7f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	close	NA	91
H4f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	never	female	NA	close	NA	99
H3f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	close	NA	107
H9f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	seldom	NA	150
H10f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	never	female	NA	seldom	NA	144
H11f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	long_ago	female	NA	medium	NA	116
H12f	H_F	Human	Feces	NA	H_nopack_f	H_noorigin_f	recently	female	NA	medium	NA	128
PD6f	PD_F	Animal	Feces	Old	P_nopack_f	PD_Anywhere	long_ago	male	dry	medium	NA	73
PD4f	PD_F	Animal	Feces	Old	P_nopack_f	PD_Anywhere	recently	male	wet	medium	NA	41
PD3f	PD_F	Animal	Feces	Adult	P_nopack_f	PD_WSC	never	male	dry	close	NA	69
PD1f	PD_F	Animal	Feces	Old	P_nopack_f	PD_WSC	recently	male	dry	close	NA	40
PD2f	PD_F	Animal	Feces	Young	P_nopack_f	PD_Anywhere	recently	female	dry	close	NA	52
PD9f	PD_F	Animal	Feces	Old	P_nopack_f	PD_Anywhere	long_ago	male	wet	seldom	NA	15
PD7f	PD_F	Animal	Feces	Old	P_nopack_f	PD_WSC	long_ago	male	dry	seldom	NA	50
PD8f	PD_F	Animal	Feces	Adult	P_nopack_f	PD_Anywhere	never	male	wet	seldom	NA	104
PD11f	PD_F	Animal	Feces	Old	P_nopack_f	PD_Anywhere	long_ago	male	dry	seldom	NA	86
PD5f	PD_F	Animal	Feces	Young	P_nopack_f	PD_Anywhere	recently	female	wet	medium	NA	39
PD10f	PD_F	Animal	Feces	Old	P_nopack_f	PD_WSC	long_ago	female	barf	medium	NA	56
PD12f	PD_F	Animal	Feces	Young	P_nopack_f	PD_Anywhere	never	female	dry	medium	NA	121
D12f	D_F	Animal	Feces	Adult	D_pack_A_f	D_noorigin_f	never	male	dry	unavailable	D_family_A	174
D15f	D_F	Animal	Feces	Adult	D_pack_B_f	D_noorigin_f	recently	male	dry	unavailable	D_family_A	79
D8f	D_F	Animal	Feces	Adult	D_pack_A_f	D_noorigin_f	long_ago	female	dry	unavailable	D_family_A	78
D6f	D_F	Animal	Feces	Adult	D_pack_C_f	D_noorigin_f	long_ago	female	dry	unavailable	D_family_B	141
D14f	D_F	Animal	Feces	Old	D_pack_D_f	D_noorigin_f	long_ago	male	dry	unavailable	NA	51
D5f	D_F	Animal	Feces	Adult	D_pack_C_f	D_noorigin_f	long_ago	female	dry	unavailable	NA	66
D9f	D_F	Animal	Feces	Adult	D_pack_E_f	D_noorigin_f	long_ago	male	dry	unavailable	D_family_B	107
D3f	D_F	Animal	Feces	Old	D_pack_E_f	D_noorigin_f	long_ago	male	dry	unavailable	D_family_C	59
D10f	D_F	Animal	Feces	Adult	D_pack_E_f	D_noorigin_f	long_ago	female	dry	unavailable	D_family_B	87
