	D10f	D10s	D11f	D11s	D12f	D12s	D13f	D13s	D14f	D14s	D15f	D15s	D1f	D1s	D2f	D2s	D3f	D4f	D4s	D5f	D5s	D6f	D6s	D7f	D7s	D8f	D8s	D9f	D9s	H10f	H11f	H11s	H12f	H12s	H1f	H1s	H2f	H2s	H3f	H3s	H4f	H4s	H5f	H5s	H6f	H6s	H7f	H7s	H8f	H8s	H9f	PD10f	PD10s	PD11f	PD11s	PD12f	PD12s	PD1f	PD1s	PD2f	PD2s	PD3f	PD3s	PD4f	PD4s	PD5s	PD6f	PD6s	PD7f	PD7s	PD8f	PD8s	PD9s	W10f	W10s	W11f	W11s	W12f	W12s	W13f	W13s	W14f	W14s	W15f	W15s	W16f	W16s	W1f	W1s	W2f	W2s	W3f	W3s	W4f	W4s	W5f	W5s	W6f	W6s	W7f	W7s	W8f	W9f	W9s
D10f	0.0	0.9937142857142857	0.43385714285714283	0.9911428571428571	0.3692142857142857	0.9956428571428572	0.31314285714285717	0.9892857142857143	0.5207142857142857	0.9887857142857143	0.4082857142857143	0.9832857142857143	0.42842857142857144	0.9942142857142857	0.4313571428571429	0.9737857142857143	0.5030714285714286	0.5295	0.9932857142857143	0.7817142857142857	0.9925	0.39071428571428574	0.9944285714285714	0.2822857142857143	0.9877142857142858	0.6418571428571429	0.992	0.6283571428571428	0.9885714285714285	0.9447142857142857	0.8485714285714285	0.9969285714285714	0.9473571428571429	0.9915714285714285	0.8885714285714286	0.9956428571428572	0.9744285714285714	0.9208571428571428	0.9236428571428571	0.9828571428571429	0.8598571428571429	0.99	0.807	0.9965	0.838	0.9918571428571429	0.9242142857142858	0.9989285714285714	0.8771428571428571	0.9903571428571428	0.9197857142857143	0.7172857142857143	0.9844285714285714	0.5671428571428572	0.9305714285714286	0.7322142857142857	0.9839285714285714	0.41585714285714287	0.9842857142857143	0.7553571428571428	0.9892857142857143	0.45585714285714285	0.9831428571428571	0.676	0.9836428571428572	0.9896428571428572	0.6422142857142857	0.9784285714285714	0.39485714285714285	0.9728571428571429	0.8966428571428572	0.9484285714285714	0.9650714285714286	0.8574285714285714	0.98	0.7576428571428572	0.9814285714285714	0.8304285714285714	0.9714285714285714	0.8673571428571428	0.9871428571428571	0.7667142857142857	0.9882857142857143	0.8352142857142857	0.9690714285714286	0.6067142857142858	0.9899285714285714	0.7616428571428572	0.9526428571428571	0.6219285714285714	0.9806428571428571	0.45835714285714285	0.9904285714285714	0.8541428571428571	0.9904285714285714	0.7933571428571429	0.9817142857142858	0.6214285714285714	0.9542142857142857	0.7432857142857143	0.9807857142857143	0.6923571428571429	0.5802857142857143	0.9330714285714286
D10s	0.9937142857142857	0.0	0.9910714285714286	0.5773571428571429	0.9537142857142857	0.5062857142857143	0.9975714285714286	0.5457142857142857	0.9975	0.5560714285714285	0.9905	0.6745714285714286	0.9739285714285715	0.6843571428571429	0.9932142857142857	0.6958571428571428	0.9977857142857143	0.9077857142857143	0.4659285714285714	0.9972857142857143	0.5603571428571429	0.9859285714285714	0.7197142857142858	0.9939285714285714	0.5581428571428572	0.9880714285714286	0.6851428571428572	0.9835	0.457	0.997	0.9952857142857143	0.9502857142857143	0.9975714285714286	0.8545714285714285	0.9924285714285714	0.9375714285714286	0.9955	0.6322857142857143	0.9943571428571428	0.789	0.9970714285714286	0.7383571428571428	0.991	0.9337857142857143	0.9945	0.8470714285714286	0.9933571428571428	0.9701428571428572	0.9951428571428571	0.8949285714285714	0.9954285714285714	0.9947142857142857	0.5379285714285714	0.9944285714285714	0.7238571428571429	0.9967857142857143	0.6097857142857143	0.9979285714285714	0.5712857142857143	0.9933571428571428	0.6555	0.996	0.572	0.9947857142857143	0.67	0.5989285714285715	0.9867142857142858	0.6145714285714285	0.9971428571428571	0.5144285714285715	0.9748571428571429	0.7275	0.6687857142857143	0.9937142857142857	0.7147857142857142	0.9822142857142857	0.605	0.9857142857142858	0.6084285714285714	0.994	0.6893571428571429	0.989	0.7663571428571428	0.9915	0.6915	0.9523571428571429	0.6612142857142858	0.9405714285714286	0.7144285714285714	0.9920714285714286	0.6555714285714286	0.9949285714285714	0.6899285714285714	0.9962142857142857	0.7653571428571428	0.9937142857142857	0.5440714285714285	0.9958571428571429	0.6336428571428572	0.9957857142857143	0.6232857142857143	0.9946428571428572	0.9860714285714286	0.5368571428571428
D11f	0.43385714285714283	0.9910714285714286	0.0	0.9902142857142857	0.5259285714285714	0.9922857142857143	0.5011428571428571	0.9862142857142857	0.5973571428571428	0.9863571428571428	0.3835	0.9834285714285714	0.5171428571428571	0.9906428571428572	0.5485	0.9825	0.5715	0.6484285714285715	0.9917857142857143	0.7621428571428571	0.9900714285714286	0.6319285714285714	0.9955	0.5528571428571428	0.9885714285714285	0.6409285714285714	0.9912857142857143	0.6501428571428571	0.9872857142857143	0.9627142857142857	0.9288571428571428	0.9950714285714286	0.9674285714285714	0.9885	0.9561428571428572	0.9930714285714286	0.9742142857142857	0.9442142857142857	0.9472857142857143	0.9843571428571428	0.9374285714285714	0.9864285714285714	0.9129285714285714	0.9929285714285714	0.9297857142857143	0.9897142857142858	0.9422857142857143	0.9972142857142857	0.9453571428571429	0.989	0.9452857142857143	0.6105714285714285	0.9835	0.5726428571428571	0.9662142857142857	0.8301428571428572	0.9879285714285714	0.5060714285714286	0.9843571428571428	0.7540714285714286	0.985	0.4795	0.9827857142857143	0.6821428571428572	0.9792142857142857	0.9836428571428572	0.5864285714285714	0.9810714285714286	0.4905	0.975	0.9392142857142857	0.9699285714285715	0.9673571428571428	0.8072857142857143	0.9793571428571428	0.7354285714285714	0.9811428571428571	0.8429285714285715	0.9756428571428571	0.8447857142857143	0.9895714285714285	0.6995	0.9922142857142857	0.7388571428571429	0.979	0.6499285714285714	0.9927142857142857	0.7926428571428571	0.9591428571428572	0.5602142857142857	0.9834285714285714	0.5267142857142857	0.9905714285714285	0.9217142857142857	0.99	0.7870714285714285	0.9818571428571429	0.6533571428571429	0.9567142857142857	0.6873571428571429	0.9844285714285714	0.7811428571428571	0.6010714285714286	0.9461428571428572
D11s	0.9911428571428571	0.5773571428571429	0.9902142857142857	0.0	0.9407142857142857	0.7666428571428572	0.9952142857142857	0.5218571428571429	0.9964285714285714	0.49707142857142855	0.9897142857142858	0.5967142857142858	0.9690714285714286	0.6009285714285715	0.9912142857142857	0.6550714285714285	0.9963571428571428	0.8975714285714286	0.684	0.9967857142857143	0.5047142857142857	0.9761428571428571	0.6765	0.9919285714285714	0.4922142857142857	0.9841428571428571	0.6226428571428572	0.9799285714285715	0.5377142857142857	0.9966428571428572	0.9962857142857143	0.9497857142857142	0.9969285714285714	0.8669285714285714	0.9936428571428572	0.9363571428571429	0.9966428571428572	0.6051428571428571	0.9942857142857143	0.7653571428571428	0.9962142857142857	0.6964285714285714	0.9937857142857143	0.9520714285714286	0.9959285714285714	0.8478571428571429	0.9860714285714286	0.9205	0.9957857142857143	0.9220714285714285	0.9976428571428572	0.9952142857142857	0.5740714285714286	0.9947142857142857	0.7324285714285714	0.9980714285714286	0.5868571428571429	0.9965714285714286	0.6023571428571428	0.9933571428571428	0.5990714285714286	0.9963571428571428	0.5682142857142857	0.9947142857142857	0.703	0.7797857142857143	0.9896428571428572	0.648	0.996	0.7436428571428572	0.9748571428571429	0.738	0.6479285714285714	0.9955	0.7040714285714286	0.9896428571428572	0.6176428571428572	0.9916428571428572	0.5766428571428571	0.9975714285714286	0.6267142857142857	0.9894285714285714	0.6701428571428572	0.9915	0.6227142857142857	0.9487142857142857	0.5917857142857142	0.9786428571428571	0.6305714285714286	0.9938571428571429	0.5883571428571429	0.9939285714285714	0.6602142857142858	0.9941428571428571	0.7721428571428571	0.9948571428571429	0.5855	0.9940714285714286	0.6177142857142857	0.9965	0.5806428571428571	0.9957857142857143	0.9862142857142857	0.6215714285714286
D12f	0.3692142857142857	0.9537142857142857	0.5259285714285714	0.9407142857142857	0.0	0.9762142857142857	0.3866428571428571	0.9392142857142857	0.6299285714285714	0.9305	0.5352142857142858	0.9437142857142857	0.41785714285714287	0.9437857142857143	0.4694285714285714	0.9085714285714286	0.38357142857142856	0.6229285714285714	0.9403571428571429	0.8883571428571428	0.9331428571428572	0.4792142857142857	0.9319285714285714	0.3821428571428571	0.9267857142857143	0.6564285714285715	0.9447142857142857	0.7405	0.9382857142857143	0.9630714285714286	0.8765	0.9930714285714286	0.9645714285714285	0.968	0.8997857142857143	0.9943571428571428	0.9687142857142857	0.8767142857142857	0.9243571428571429	0.9534285714285714	0.8705714285714286	0.9490714285714286	0.8126428571428571	0.9939285714285714	0.8485	0.9808571428571429	0.9365	0.9978571428571429	0.9044285714285715	0.9855714285714285	0.9381428571428572	0.7811428571428571	0.9445714285714286	0.5964285714285714	0.9072142857142858	0.8099285714285714	0.9281428571428572	0.4640714285714286	0.9387142857142857	0.783	0.9355714285714286	0.4729285714285714	0.9385714285714286	0.7518571428571429	0.9325714285714286	0.9508571428571428	0.7504285714285714	0.9335	0.2963571428571429	0.9369285714285714	0.9497857142857142	0.9064285714285715	0.9269285714285714	0.9375714285714286	0.9388571428571428	0.8245714285714286	0.9382142857142857	0.9122857142857143	0.925	0.9551428571428572	0.94	0.8860714285714286	0.9503571428571429	0.878	0.9270714285714285	0.7551428571428571	0.9277142857142857	0.8768571428571429	0.9256428571428571	0.7655	0.9260714285714285	0.5059285714285714	0.9413571428571429	0.9116428571428571	0.9400714285714286	0.9041428571428571	0.931	0.6765	0.9073571428571429	0.7895714285714286	0.9322857142857143	0.8039285714285714	0.7185714285714285	0.8873571428571428
D12s	0.9956428571428572	0.5062857142857143	0.9922857142857143	0.7666428571428572	0.9762142857142857	0.0	0.9988571428571429	0.7224285714285714	0.9957142857142857	0.7477142857142857	0.9921428571428571	0.7955714285714286	0.9846428571428572	0.8472857142857143	0.9952142857142857	0.8632857142857143	0.9993571428571428	0.9527142857142857	0.5743571428571429	0.996	0.7658571428571429	0.9925714285714285	0.8705	0.9972142857142857	0.7891428571428571	0.9934285714285714	0.7926428571428571	0.9926428571428572	0.6783571428571429	0.9975714285714286	0.9965	0.9644285714285714	0.9987857142857143	0.899	0.9907857142857143	0.9607142857142857	0.9975	0.826	0.9953571428571428	0.8627142857142858	0.9965	0.8548571428571429	0.9965714285714286	0.9411428571428572	0.9942142857142857	0.8762142857142857	0.9930714285714286	0.9731428571428572	0.9941428571428571	0.9162857142857143	0.9938571428571429	0.995	0.6851428571428572	0.9975714285714286	0.8382142857142857	0.9986428571428572	0.8355	0.9981428571428571	0.7577142857142857	0.994	0.8379285714285715	0.9968571428571429	0.7546428571428572	0.9974285714285714	0.8067857142857143	0.7035	0.9919285714285714	0.7721428571428571	0.9987857142857143	0.6341428571428571	0.9817857142857143	0.8272142857142857	0.8145714285714286	0.9947857142857143	0.8595	0.9918571428571429	0.7867857142857143	0.9922142857142857	0.8141428571428572	0.9955714285714286	0.8412857142857143	0.9911428571428571	0.8312857142857143	0.9927142857142857	0.8522142857142857	0.9779285714285715	0.8527142857142858	0.9562857142857143	0.8538571428571429	0.9951428571428571	0.838	0.9964285714285714	0.86	0.9975	0.8966428571428572	0.9952857142857143	0.7522142857142857	0.9982857142857143	0.8074285714285714	0.9976428571428572	0.7892857142857143	0.9981428571428571	0.9914285714285714	0.6945
D13f	0.31314285714285717	0.9975714285714286	0.5011428571428571	0.9952142857142857	0.3866428571428571	0.9988571428571429	0.0	0.9939285714285714	0.41964285714285715	0.9935714285714285	0.36842857142857144	0.9866428571428572	0.446	0.9959285714285714	0.44535714285714284	0.9786428571428571	0.463	0.458	0.9977142857142857	0.7421428571428571	0.9964285714285714	0.48	0.9986428571428572	0.3350714285714286	0.9922142857142857	0.6799285714285714	0.9960714285714286	0.5286428571428572	0.9931428571428571	0.9563571428571429	0.8439285714285715	0.9982142857142857	0.9597142857142857	0.9953571428571428	0.9026428571428572	0.9978571428571429	0.9702142857142857	0.9319285714285714	0.923	0.9882142857142857	0.8705714285714286	0.9955	0.7738571428571429	0.997	0.8095	0.995	0.9295	0.9985714285714286	0.8687142857142857	0.9952142857142857	0.9316428571428571	0.7562857142857143	0.99	0.6064285714285714	0.9373571428571429	0.7619285714285714	0.9907857142857143	0.494	0.9915	0.7657857142857143	0.9935714285714285	0.4845	0.9902142857142857	0.7390714285714286	0.9877142857142858	0.9936428571428572	0.6228571428571429	0.9865	0.49614285714285716	0.9772142857142857	0.892	0.9545	0.971	0.8425	0.9885	0.6442857142857142	0.9858571428571429	0.7204285714285714	0.9781428571428571	0.7446428571428572	0.9940714285714286	0.6319285714285714	0.9956428571428572	0.8633571428571428	0.9746428571428571	0.5979285714285715	0.995	0.6375714285714286	0.9581428571428572	0.5292142857142857	0.9884285714285714	0.46885714285714286	0.9962142857142857	0.8817142857142857	0.9968571428571429	0.6591428571428571	0.9920714285714286	0.6247857142857143	0.9605714285714285	0.7554285714285714	0.9889285714285714	0.7375	0.48128571428571426	0.9430714285714286
D13s	0.9892857142857143	0.5457142857142857	0.9862142857142857	0.5218571428571429	0.9392142857142857	0.7224285714285714	0.9939285714285714	0.0	0.9939285714285714	0.4085714285714286	0.9874285714285714	0.5163571428571428	0.9663571428571428	0.5263571428571429	0.9899285714285714	0.6543571428571429	0.9947142857142857	0.9016428571428572	0.6511428571428571	0.9937142857142857	0.4645	0.9768571428571429	0.7063571428571429	0.9900714285714286	0.49128571428571427	0.9813571428571428	0.6575	0.9767142857142858	0.5242142857142857	0.9951428571428571	0.9922142857142857	0.9483571428571429	0.9963571428571428	0.8429285714285715	0.992	0.9280714285714285	0.994	0.5799285714285715	0.9922142857142857	0.7656428571428572	0.9947142857142857	0.6907857142857143	0.9850714285714286	0.9280714285714285	0.9942857142857143	0.8274285714285714	0.9852857142857143	0.9366428571428571	0.9951428571428571	0.8949285714285714	0.9912857142857143	0.9874285714285714	0.4897142857142857	0.9915714285714285	0.7154285714285714	0.994	0.6007857142857143	0.9970714285714286	0.5385714285714286	0.9925	0.6082142857142857	0.9916428571428572	0.5406428571428571	0.9955714285714286	0.6536428571428572	0.7187857142857143	0.9811428571428571	0.5778571428571428	0.9962857142857143	0.6607857142857143	0.9738571428571429	0.7084285714285714	0.586	0.9808571428571429	0.7265	0.9675714285714285	0.6256428571428572	0.9686428571428571	0.556	0.9904285714285714	0.6501428571428571	0.9839285714285714	0.722	0.9875	0.6570714285714285	0.9512857142857143	0.6384285714285715	0.9626428571428571	0.7007142857142857	0.9875	0.6524285714285715	0.9921428571428571	0.6752857142857143	0.9935714285714285	0.7293571428571428	0.9893571428571428	0.5969285714285715	0.9937857142857143	0.6222142857142857	0.9907857142857143	0.5643571428571429	0.9912142857142857	0.9810714285714286	0.5770714285714286
D14f	0.5207142857142857	0.9975	0.5973571428571428	0.9964285714285714	0.6299285714285714	0.9957142857142857	0.41964285714285715	0.9939285714285714	0.0	0.9943571428571428	0.494	0.985	0.6164285714285714	0.9965	0.6941428571428572	0.9774285714285714	0.5610714285714286	0.5055714285714286	0.9975	0.7065714285714285	0.997	0.6537857142857143	0.9989285714285714	0.5960714285714286	0.9912142857142857	0.8122857142857143	0.9989285714285714	0.5886428571428571	0.996	0.9743571428571428	0.8782857142857143	0.9989285714285714	0.9803571428571428	0.9915714285714285	0.9085	0.9992857142857143	0.9860714285714286	0.9497142857142857	0.9383571428571429	0.9832857142857143	0.9134285714285715	0.9942142857142857	0.7667857142857143	0.9925	0.8179285714285714	0.9900714285714286	0.9562142857142857	0.9999285714285714	0.8937857142857143	0.9922857142857143	0.9605	0.7759285714285714	0.9884285714285714	0.7220714285714286	0.9385714285714286	0.867	0.9924285714285714	0.551	0.9909285714285714	0.7504285714285714	0.9925	0.6831428571428572	0.9911428571428571	0.7626428571428572	0.9847142857142858	0.9930714285714286	0.6395714285714286	0.9870714285714286	0.6383571428571428	0.9765714285714285	0.8754285714285714	0.9556428571428571	0.9759285714285715	0.7533571428571428	0.9835	0.6632857142857143	0.986	0.7075714285714285	0.9776428571428571	0.6796428571428571	0.9945714285714286	0.5485	0.9954285714285714	0.8190714285714286	0.973	0.6568571428571428	0.9951428571428571	0.6815	0.9668571428571429	0.5122857142857142	0.9885714285714285	0.5532857142857143	0.9962857142857143	0.9320714285714286	0.9937857142857143	0.6014285714285714	0.9888571428571429	0.7505714285714286	0.9550714285714286	0.7084285714285714	0.9890714285714286	0.8292857142857143	0.6079285714285714	0.9474285714285714
D14s	0.9887857142857143	0.5560714285714285	0.9863571428571428	0.49707142857142855	0.9305	0.7477142857142857	0.9935714285714285	0.4085714285714286	0.9943571428571428	0.0	0.9915714285714285	0.5737857142857142	0.9652142857142857	0.5195714285714286	0.9899285714285714	0.6010714285714286	0.9948571428571429	0.8849285714285714	0.6559285714285714	0.9941428571428571	0.44242857142857145	0.9749285714285715	0.6502857142857142	0.9887857142857143	0.43914285714285717	0.9806428571428571	0.6052857142857143	0.9726428571428571	0.4937857142857143	0.997	0.9972142857142857	0.9353571428571429	0.999	0.8454285714285714	0.9952142857142857	0.9357142857142857	0.9983571428571428	0.5631428571428572	0.9962857142857143	0.7810714285714285	0.9988571428571429	0.7264285714285714	0.9961428571428571	0.9492857142857143	0.9963571428571428	0.8320714285714286	0.9903571428571428	0.9690714285714286	0.9977857142857143	0.9056428571428572	0.9981428571428571	0.9933571428571428	0.5254285714285715	0.9925	0.6987142857142857	0.9928571428571429	0.5277857142857143	0.9964285714285714	0.5329285714285714	0.994	0.6177857142857143	0.9935714285714285	0.5142857142857142	0.9951428571428571	0.6272857142857143	0.7184285714285714	0.9889285714285714	0.5785714285714286	0.9945	0.6869285714285714	0.9764285714285714	0.7139285714285715	0.5753571428571429	0.9935714285714285	0.6727857142857143	0.9830714285714286	0.5940714285714286	0.9852142857142857	0.4942857142857143	0.9953571428571428	0.6594285714285715	0.9859285714285714	0.7337857142857143	0.9911428571428571	0.6595	0.9466428571428571	0.5646428571428571	0.968	0.6235	0.9891428571428571	0.5757857142857142	0.9937142857142857	0.6550714285714285	0.9909285714285714	0.7352142857142857	0.9925714285714285	0.5457857142857143	0.9911428571428571	0.6005714285714285	0.9930714285714286	0.5425714285714286	0.9926428571428572	0.9844285714285714	0.5594285714285714
