"","fasta_header","domain","domain_conf","phylum","phylum_conf","class","class_conf","order","order_conf","family","family_conf","genus","genus_conf"
"1","LN612774.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.97,"Bacteroidales",0.97,NA,0.47,NA,0.27
"2","LN612775.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Ruminococcaceae",1,NA,0.58
"3","LN612776.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",0.99,NA,0.74
"4","LN612777.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.91
"5","LN612778.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Lachnospiraceae",1,NA,0.19
"6","LN612779.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",1,"Neisseriaceae",1,"Kingella",0.82
"7","LN612780.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",1,"Neisseriaceae",1,"Kingella",0.82
"8","LN612781.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Ruminococcaceae",1,NA,0.55
"9","LN612782.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.77
"10","LN612783.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.88
"11","LN612784.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Ruminococcaceae",1,NA,0.53
"12","LN612785.1","Bacteria",1,"Spirochaetes",1,"Spirochaetes",1,"Spirochaetales",1,"Spirochaetaceae",1,"Treponema",1
"13","LN612786.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.76
"14","LN612787.1","Bacteria",1,"Firmicutes",0.81,NA,0.54,NA,0.54,NA,0.54,NA,0.21
"15","LN612788.1","Bacteria",1,"Firmicutes",0.95,"Clostridia",0.86,"Clostridiales",0.86,NA,0.28,NA,0.2
"16","LN612789.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.95
"17","LN612790.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.99,"Bacteroidales",0.99,"Porphyromonadaceae",0.96,NA,0.66
"18","LN612791.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",0.98,NA,0.78
"19","LN612792.1","Bacteria",1,NA,0.19,NA,0.19,NA,0.19,NA,0.19,NA,0.19
"20","LN612793.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",0.99,"Brachymonas",0.86
"21","LN612794.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Lachnospiraceae",1,"Butyrivibrio",0.98
"22","LN612795.1","Bacteria",1,NA,0.46,NA,0.46,NA,0.46,NA,0.46,NA,0.46
"23","LN612796.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.84
"24","LN612797.1","Bacteria",1,"Proteobacteria",1,"Deltaproteobacteria",1,"Desulfobacterales",1,"Desulfobulbaceae",1,"Desulfobulbus",1
"25","LN612798.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.97,"Bacteroidales",0.97,NA,0.6,NA,0.42
"26","LN612799.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.82
"27","LN612800.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"Brachymonas",0.85
"28","LN612801.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Clostridiales_Incertae Sedis XIII",1,"Mogibacterium",0.97
"29","LN612802.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.9,"Bacteroidales",0.9,NA,0.5,NA,0.5
"30","LN612803.1","Bacteria",1,NA,0.55,NA,0.55,NA,0.55,NA,0.55,NA,0.55
"31","LN612804.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.74
"32","LN612805.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,NA,0.79
"33","LN612806.1","Bacteria",1,"Proteobacteria",1,"Deltaproteobacteria",1,"Desulfobacterales",1,"Desulfobulbaceae",1,"Desulfobulbus",1
"34","LN612807.1","Bacteria",1,"Actinobacteria",1,"Actinobacteria",1,"Coriobacteriales",1,"Coriobacteriaceae",1,NA,0.7
"35","LN612808.1","Bacteria",1,"Spirochaetes",0.86,"Spirochaetes",0.86,"Spirochaetales",0.86,"Spirochaetaceae",0.83,"Treponema",0.83
"36","LN612809.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,NA,0.79
"37","LN612810.1","Bacteria",1,"Proteobacteria",1,"Epsilonproteobacteria",1,"Campylobacterales",1,"Campylobacteraceae",1,"Campylobacter",1
"38","LN612811.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.72
"39","LN612812.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,NA,0.71
"40","LN612813.1","Bacteria",1,"Firmicutes",0.85,"Clostridia",0.83,"Clostridiales",0.83,NA,0.25,NA,0.16
"41","LN612814.1","Bacteria",1,"Bacteroidetes",1,NA,0.51,NA,0.51,NA,0.21,NA,0.2
"42","LN612815.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Ruminococcaceae",1,NA,0.58
"43","LN612816.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,NA,0.79
"44","LN612817.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Ruminococcaceae",1,NA,0.43
"45","LN612818.1","Bacteria",1,"Firmicutes",0.91,NA,0.61,NA,0.61,NA,0.38,NA,0.2
"46","LN612819.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,NA,0.71
"47","LN612820.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.8,"Bacteroidales",0.8,NA,0.26,NA,0.26
"48","LN612821.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",1,"Brachymonas",0.86
"49","LN612822.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",1
"50","LN612823.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.67
"51","LN612824.1","Bacteria",1,"Proteobacteria",1,"Deltaproteobacteria",1,"Desulfobacterales",1,"Desulfobulbaceae",1,"Desulfobulbus",1
"52","LN612825.1","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,NA,0.39,NA,0.39
"53","LN612826.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",1,"Comamonadaceae",0.99,"Brachymonas",0.8
"54","LN612827.1","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",1,"Neisseriaceae",1,"Kingella",0.8
"55","LN612828.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,NA,0.7
"56","LN612829.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.99,"Bacteroidales",0.99,"Porphyromonadaceae",0.95,NA,0.51
"57","LN612830.1","Bacteria",1,"Firmicutes",0.85,"Clostridia",0.84,"Clostridiales",0.84,NA,0.27,NA,0.15
"58","LN612831.1","Bacteria",1,"Proteobacteria",1,"Deltaproteobacteria",1,"Desulfobacterales",1,"Desulfobulbaceae",1,"Desulfobulbus",1
"59","LN612832.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",1,"Prevotella",0.88
"60","LN612833.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.96,"Bacteroidales",0.96,"Porphyromonadaceae",0.81,NA,0.3
"61","LN612834.1","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",1,"Bacteroidales",1,"Prevotellaceae",0.84,NA,0.63
