"","fasta_header","domain","domain_conf","phylum","phylum_conf","class","class_conf","order","order_conf","family","family_conf","genus","genus_conf"
"1","48d3b461d7fae6a1294a6214817c12e8","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Burkholderiales",0.99,"Comamonadaceae",0.99,"Brachymonas",0.89
"2","6cbd388610e4c0e2359a1b9a1c0021f4","Bacteria",1,"Proteobacteria",1,"Epsilonproteobacteria",1,"Campylobacterales",1,"Campylobacteraceae",1,"Campylobacter",1
"3","1e44ec945976c4647b350a53b1b22ac1","Bacteria",1,"Firmicutes",0.97,"Clostridia",0.96,"Clostridiales",0.96,"Ruminococcaceae",0.96,NA,0.25
"4","d3017630dfffc982697e75c5b53334ea","Bacteria",1,"Proteobacteria",0.97,"Deltaproteobacteria",0.97,"Desulfobacterales",0.89,"Desulfobulbaceae",0.87,"Desulfobulbus",0.86
"5","38aa0815c8c4b0d185d53996c57f353e","Bacteria",1,"Firmicutes",0.97,"Clostridia",0.97,"Clostridiales",0.97,"Ruminococcaceae",0.97,NA,0.43
"6","fbb36ff42917ef35981ff7b40fab5773","Bacteria",1,"Proteobacteria",0.99,"Deltaproteobacteria",0.98,"Desulfobacterales",0.91,"Desulfobulbaceae",0.82,"Desulfobulbus",0.81
"7","d0d805ede432aabdbd88311d3e6846d1","Bacteria",1,"Actinobacteria",1,"Actinobacteria",1,"Bifidobacteriales",1,"Bifidobacteriaceae",1,"Bifidobacterium",1
"8","c3f09e72d5fea3b89f9354786f3b5957","Bacteria",1,"Firmicutes",1,"Negativicutes",0.98,"Selenomonadales",0.98,"Acidaminococcaceae",0.97,"Succiniclasticum",0.95
"9","6faf464780b148292a976d6f7d7e296a","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",0.99,"Neisseriales",0.98,"Neisseriaceae",0.98,NA,0.48
"10","c031f6f676f80a320caf1057bf680d54","Bacteria",1,"Proteobacteria",0.94,"Deltaproteobacteria",0.94,"Desulfovibrionales",0.92,"Desulfovibrionaceae",0.84,NA,0.56
"11","ba9ebe8085da3dc00830d5587253c0f4","Bacteria",1,"Actinobacteria",0.99,"Actinobacteria",0.99,"Coriobacteriales",0.99,"Coriobacteriaceae",0.99,"Olsenella",0.85
"12","02e13c76d7ff4ed39a9888205bf8b94c","Bacteria",1,"Proteobacteria",0.98,"Deltaproteobacteria",0.97,"Desulfobacterales",0.92,"Desulfobulbaceae",0.83,"Desulfobulbus",0.82
"13","3f3fc204cc5151097c751442bba7aa62","Bacteria",1,"Firmicutes",0.92,"Clostridia",0.91,"Clostridiales",0.9,NA,0.52,NA,0.52
"14","33346f3df33832a7708c65017bf5a2f7","Bacteria",1,"Firmicutes",0.99,"Negativicutes",0.9,"Selenomonadales",0.9,"Acidaminococcaceae",0.82,NA,0.74
"15","d601969a8dd5769d3f7a4d1416a21093","Bacteria",1,"Proteobacteria",0.97,"Deltaproteobacteria",0.95,"Desulfobacterales",0.81,NA,0.72,NA,0.67
"16","8d34e239858c08137a478ca0750d0fda","Bacteria",1,NA,0.17,NA,0.17,NA,0.17,NA,0.17,NA,0.05
"17","293ae49fb045196a865c3993696a5736",NA,0.3,NA,0.17,NA,0.17,NA,0.08,NA,0.08,NA,0.07
"18","7f5fc1712a3211417e2ba35256fcec90","Bacteria",1,"Proteobacteria",0.99,"Deltaproteobacteria",0.99,"Desulfobacterales",0.98,"Desulfobulbaceae",0.97,"Desulfobulbus",0.97
"19","c2e488bdaf896b1d4976298156259f3c","Bacteria",1,"Actinobacteria",1,"Actinobacteria",1,"Actinomycetales",1,"Actinomycetaceae",0.84,"Actinobaculum",0.84
"20","3fc45ea460a2e63d801d42cdfe8250ed","Bacteria",1,"Firmicutes",0.93,"Clostridia",0.93,"Clostridiales",0.93,"Ruminococcaceae",0.92,NA,0.31
"21","5ca6b471e06d1195fe9b4778e72871ed","Bacteria",1,"Firmicutes",0.97,"Clostridia",0.97,"Clostridiales",0.97,"Ruminococcaceae",0.94,NA,0.35
