"","Pathogen","ARD ID","ARD Name","Median Frequency of Observed Genes","Number of Versions of Observed Genes","Number of ARDs Observed","Percent Identity","Query Length","ARD Length","Number of Pathogen Genomes"
"1","clostridioides difficile","ARO:3000190","tetO",24,"14",11,99.374,640,639,3000
"2","clostridioides difficile","ARO:3000190","tetO",24,"14",11,99.061,640,639,3000
"3","clostridioides difficile","ARO:3000180","tetA(P)",1,"3",11,97.549,409,408,3000
"4","clostridioides difficile","ARO:3002837","lnuC",5,"5",11,98.171,165,164,3000
"5","clostridioides difficile","ARO:3000180","tetA(P)",1,"3",11,97.794,409,408,3000
"6","clostridioides difficile","ARO:3002647","APH(3')-IIIa",114,"4",11,100,265,264,3000
"7","clostridioides difficile","ARO:3000556","tet44",33,"9",11,99.405,168,168,3000
"8","clostridioides difficile","ARO:3000556","tet44",33,"9",11,99.401,167,167,3000
"9","clostridioides difficile","ARO:3000567","tet(40)",98,"5",11,99.754,407,406,3000
"10","clostridioides difficile","ARO:3002628","aad(6)",23,"3",11,100,303,276,3000
"11","clostridioides difficile","ARO:3000190","tetO",24,"14",11,99.218,640,639,3000
"12","clostridioides difficile","ARO:3002897","SAT-4",108,"3",11,98.889,181,180,3000
"13","clostridioides difficile","ARO:3002629","ANT(6)-Ib",32,"3",11,100,286,285,3000
"14","clostridioides difficile","ARO:3000556","tet44",33,"9",11,98.851,176,174,3000
"15","clostridioides difficile","ARO:3000190","tetO",24,"14",11,98.748,640,639,3000
"16","clostridioides difficile","ARO:3002629","ANT(6)-Ib",32,"3",11,100,204,204,3000
"17","clostridioides difficile","ARO:3002647","APH(3')-IIIa",114,"4",11,100,262,261,3000
"18","clostridioides difficile","ARO:3000190","tetO",24,"14",11,100,252,251,3000
"19","clostridioides difficile","ARO:3002972","vanTG",3,"1",11,99.017,713,712,3000
"20","clostridioides difficile","ARO:3000556","tet44",33,"9",11,95.939,392,394,3000
"21","clostridioides difficile","ARO:3000190","tetO",24,"14",11,99.19,619,617,3000
"22","clostridioides difficile","ARO:3002897","SAT-4",108,"3",11,99.432,177,176,3000
"23","clostridioides difficile","ARO:3002837","lnuC",5,"5",11,98.171,188,164,3000
"24","clostridioides difficile","ARO:3000556","tet44",33,"9",11,95.833,505,504,3000
"25","clostridioides difficile","ARO:3000190","tetO",24,"14",11,98.905,640,639,3000
"26","clostridioides difficile","ARO:3000556","tet44",33,"9",11,95.792,500,499,3000
"27","clostridioides difficile","ARO:3000190","tetO",24,"14",11,98.689,313,305,3000
"28","clostridioides difficile","ARO:3000556","tet44",33,"9",11,97.05,340,339,3000
"29","clostridioides difficile","ARO:3000556","tet44",33,"9",11,96.748,125,123,3000
"30","clostridioides difficile","ARO:3000522","ErmG",12,"1",11,98.77,245,244,3000
"31","clostridioides difficile","ARO:3000190","tetO",24,"14",11,99.204,378,377,3000
"32","clostridioides difficile","ARO:3000556","tet44",33,"9",11,96.562,641,640,3000
"33","clostridioides difficile dave","ARO:3000180","tetA(P)",1,"3",10,97.549,409,408,2517
"34","clostridioides difficile dave","ARO:3002837","lnuC",4,"5",10,98.171,165,164,2517
"35","clostridioides difficile dave","ARO:3000180","tetA(P)",1,"3",10,97.794,409,408,2517
"36","clostridioides difficile dave","ARO:3002647","APH(3')-IIIa",17,"4",10,100,265,264,2517
"37","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,99.405,168,168,2517
"38","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,99.401,167,167,2517
"39","clostridioides difficile dave","ARO:3000567","tet(40)",27,"5",10,99.754,407,406,2517
"40","clostridioides difficile dave","ARO:3002628","aad(6)",3,"3",10,100,303,276,2517
"41","clostridioides difficile dave","ARO:3002897","SAT-4",17,"3",10,98.889,181,180,2517
"42","clostridioides difficile dave","ARO:3002629","ANT(6)-Ib",14,"3",10,100,286,285,2517
"43","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,98.851,176,174,2517
"44","clostridioides difficile dave","ARO:3002629","ANT(6)-Ib",14,"3",10,100,204,204,2517
"45","clostridioides difficile dave","ARO:3002647","APH(3')-IIIa",17,"4",10,100,262,261,2517
"46","clostridioides difficile dave","ARO:3000190","tetO",2,"2",10,100,252,251,2517
"47","clostridioides difficile dave","ARO:3002972","vanTG",3,"1",10,99.017,713,712,2517
"48","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,95.939,392,394,2517
"49","clostridioides difficile dave","ARO:3002897","SAT-4",17,"3",10,99.432,177,176,2517
"50","clostridioides difficile dave","ARO:3002837","lnuC",4,"5",10,98.171,188,164,2517
"51","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,95.833,505,504,2517
"52","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,95.792,500,499,2517
"53","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,97.05,340,339,2517
"54","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,96.748,125,123,2517
"55","clostridioides difficile dave","ARO:3000556","tet44",15,"9",10,96.562,641,640,2517
"56","campylobacter coli","ARO:3000190","tetO",3192,"14",5,99.374,640,639,3186
"57","campylobacter coli","ARO:3000190","tetO",3192,"14",5,99.061,640,639,3186
"58","campylobacter coli","ARO:3002837","lnuC",78,"5",5,98.171,165,164,3186
"59","campylobacter coli","ARO:3002647","APH(3')-IIIa",1033,"4",5,100,265,264,3186
"60","campylobacter coli","ARO:3002628","aad(6)",5,"3",5,100,303,276,3186
"61","campylobacter coli","ARO:3000190","tetO",3192,"14",5,99.218,640,639,3186
"62","campylobacter coli","ARO:3002897","SAT-4",323,"3",5,98.889,181,180,3186
"63","campylobacter coli","ARO:3000190","tetO",3192,"14",5,98.748,640,639,3186
"64","campylobacter coli","ARO:3002647","APH(3')-IIIa",1033,"4",5,100,262,261,3186
"65","campylobacter coli","ARO:3000190","tetO",3192,"14",5,100,252,251,3186
"66","campylobacter coli","ARO:3000190","tetO",3192,"14",5,99.19,619,617,3186
"67","campylobacter coli","ARO:3002897","SAT-4",323,"3",5,99.432,177,176,3186
"68","campylobacter coli","ARO:3002837","lnuC",78,"5",5,98.171,188,164,3186
"69","campylobacter coli","ARO:3000190","tetO",3192,"14",5,98.905,640,639,3186
"70","campylobacter coli","ARO:3000190","tetO",3192,"14",5,98.689,313,305,3186
"71","campylobacter coli","ARO:3000190","tetO",3192,"14",5,99.204,378,377,3186
"72","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,99.374,640,639,2626
"73","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,99.061,640,639,2626
"74","campylobacter jejuni","ARO:3002837","lnuC",8,"5",4,98.171,165,164,2626
"75","campylobacter jejuni","ARO:3002647","APH(3')-IIIa",132,"4",4,100,265,264,2626
"76","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,99.218,640,639,2626
"77","campylobacter jejuni","ARO:3002897","SAT-4",49,"3",4,98.889,181,180,2626
"78","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,98.748,640,639,2626
"79","campylobacter jejuni","ARO:3002647","APH(3')-IIIa",132,"4",4,100,262,261,2626
"80","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,100,252,251,2626
"81","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,99.19,619,617,2626
"82","campylobacter jejuni","ARO:3002897","SAT-4",49,"3",4,99.432,177,176,2626
"83","campylobacter jejuni","ARO:3002837","lnuC",8,"5",4,98.171,188,164,2626
"84","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,98.905,640,639,2626
"85","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,98.689,313,305,2626
"86","campylobacter jejuni","ARO:3000190","tetO",1560,"14",4,99.204,378,377,2626
"87","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,99.374,640,639,3994
"88","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,99.061,640,639,3994
"89","staphylococcus aureus","ARO:3002647","APH(3')-IIIa",514,"4",3,100,265,264,2963
"90","streptococcus pneumoniae","ARO:3002647","APH(3')-IIIa",19,"4",3,100,265,264,3994
"91","staphylococcus aureus","ARO:3002628","aad(6)",205,"3",3,100,303,276,2963
"92","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,99.218,640,639,3994
"93","staphylococcus aureus","ARO:3002897","SAT-4",160,"3",3,98.889,181,180,2963
"94","streptococcus pneumoniae","ARO:3002897","SAT-4",14,"3",3,98.889,181,180,3994
"95","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,98.748,640,639,3994
"96","staphylococcus aureus","ARO:3002647","APH(3')-IIIa",514,"4",3,100,262,261,2963
"97","streptococcus pneumoniae","ARO:3002647","APH(3')-IIIa",19,"4",3,100,262,261,3994
"98","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,100,252,251,3994
"99","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,99.19,619,617,3994
"100","staphylococcus aureus","ARO:3002897","SAT-4",160,"3",3,99.432,177,176,2963
"101","streptococcus pneumoniae","ARO:3002897","SAT-4",14,"3",3,99.432,177,176,3994
"102","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,98.905,640,639,3994
"103","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,98.689,313,305,3994
"104","streptococcus pneumoniae","ARO:3000190","tetO",3,"14",3,99.204,378,377,3994
"105","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,99.374,640,639,3587
"106","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,99.061,640,639,3587
"107","acinetobacter baumannii","ARO:3000412","sul2",1952,"3",1,100,272,271,3989
"108","pseudomonas aeruginosa","ARO:3000412","sul2",22,"3",1,100,272,271,2990
"109","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,99.218,640,639,3587
"110","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,98.748,640,639,3587
"111","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,100,252,251,3587
"112","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,99.19,619,617,3587
"113","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,98.905,640,639,3587
"114","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,98.689,313,305,3587
"115","listeria monocytogenes","ARO:3000190","tetO",2,"14",1,99.204,378,377,3587
