user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GCF_000005845.2_ASM584v2_genomic	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	GCA_002950215.1	96.98	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	97.82	0.85	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	ANI/Placement	topological placement and ANI have incongruent species assignments	GCF_000026325.1, s__Escherichia coli_D, 96.94, 97.34, 0.91; GCA_002949675.1, s__Escherichia dysenteriae, 96.98, 97.29, 0.79; GCF_000690815.1, s__Escherichia coli, 96.35, 96.82, 0.88; GCF_003018335.1, s__Escherichia coli_C, 95.62, 95.98, 0.9; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.57, 0.77; GCA_000208585.2, s__Escherichia sp000208585, 95.0, 92.89, 0.83; GCF_001660175.1, s__Escherichia sp001660175, 95.0, 91.92, 0.84; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.18, 0.72; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.17, 0.81; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.19, 0.81	99.27	11	N/A	N/A
GCF_001298465.1_ASM129846v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus	GCF_001298465.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus	100.0	1.0	GCF_001298465.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus	100.0	1.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002912895.1, s__Campylobacter_A concisus_G, 95.0, 94.46, 0.91; GCF_001891085.1, s__Campylobacter_A concisus_O, 95.0, 94.44, 0.92; GCF_003048405.1, s__Campylobacter_A concisus_Q, 95.0, 94.44, 0.91; GCF_003048965.1, s__Campylobacter_A concisus_I, 95.0, 94.41, 0.92; GCF_003048575.1, s__Campylobacter_A concisus_U, 95.0, 94.4, 0.92; GCF_003048535.1, s__Campylobacter_A concisus_S, 95.0, 94.39, 0.91; GCF_002914005.1, s__Campylobacter_A concisus_N, 95.0, 94.37, 0.89; GCF_002165775.1, s__Campylobacter_A concisus_E, 95.0, 94.36, 0.92; GCF_003048595.1, s__Campylobacter_A concisus_L, 95.0, 94.35, 0.89; GCF_002165785.1, s__Campylobacter_A concisus_W, 95.0, 94.34, 0.91; GCF_003048905.1, s__Campylobacter_A concisus_V, 95.0, 94.3, 0.91; GCA_002092835.1, s__Campylobacter_A concisus_K, 95.0, 94.3, 0.92; GCF_002914195.1, s__Campylobacter_A concisus_M, 95.0, 94.3, 0.9; GCF_000466745.1, s__Campylobacter_A concisus_B, 95.0, 94.22, 0.89; GCF_003049085.1, s__Campylobacter_A concisus_H, 95.0, 94.22, 0.91; GCF_002913945.1, s__Campylobacter_A concisus_P, 95.0, 94.21, 0.88; GCF_002913745.1, s__Campylobacter_A concisus_R, 95.0, 88.91, 0.82; GCF_000466685.1, s__Campylobacter_A concisus_A, 95.0, 88.83, 0.77; GCF_003048675.1, s__Campylobacter_A concisus_F, 95.0, 88.78, 0.82; GCF_003048375.1, s__Campylobacter_A concisus_T, 95.0, 88.72, 0.86; GCF_002913305.1, s__Campylobacter_A concisus_C, 95.0, 88.7, 0.83; GCF_003048835.1, s__Campylobacter_A concisus_D, 95.0, 88.68, 0.8; GCF_002913225.1, s__Campylobacter_A concisus_J, 95.0, 88.57, 0.8; GCF_000313615.1, s__Campylobacter_A showae_A, 95.0, 80.92, 0.27; GCF_000175655.1, s__Campylobacter_A showae_C, 95.0, 79.34, 0.26; GCF_000344295.2, s__Campylobacter_A showae_B, 95.0, 79.27, 0.25; GCF_000174175.1, s__Campylobacter_A rectus, 95.0, 78.84, 0.23; GCF_000376325.1, s__Campylobacter_A curvus, 95.0, 78.26, 0.38; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.86, 0.31	93.49	11	N/A	N/A
GCF_003048375.1_ASM304837v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_T	GCF_003048375.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_T	100.0	1.0	GCF_003048375.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_T	100.0	1.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002913745.1, s__Campylobacter_A concisus_R, 95.0, 95.0, 0.88; GCF_000466685.1, s__Campylobacter_A concisus_A, 95.0, 94.98, 0.84; GCF_003048675.1, s__Campylobacter_A concisus_F, 95.0, 94.96, 0.9; GCF_002913305.1, s__Campylobacter_A concisus_C, 95.0, 94.71, 0.89; GCF_002913225.1, s__Campylobacter_A concisus_J, 95.0, 94.56, 0.89; GCF_003048835.1, s__Campylobacter_A concisus_D, 95.0, 94.48, 0.88; GCF_003049085.1, s__Campylobacter_A concisus_H, 95.0, 88.96, 0.78; GCF_001891085.1, s__Campylobacter_A concisus_O, 95.0, 88.89, 0.83; GCA_002092835.1, s__Campylobacter_A concisus_K, 95.0, 88.87, 0.8; GCF_002165785.1, s__Campylobacter_A concisus_W, 95.0, 88.76, 0.8; GCF_002912895.1, s__Campylobacter_A concisus_G, 95.0, 88.76, 0.84; GCF_001298465.1, s__Campylobacter_A concisus, 95.0, 88.72, 0.86; GCF_000466745.1, s__Campylobacter_A concisus_B, 95.0, 88.7, 0.84; GCF_002914195.1, s__Campylobacter_A concisus_M, 95.0, 88.69, 0.83; GCF_003048405.1, s__Campylobacter_A concisus_Q, 95.0, 88.64, 0.8; GCF_003048965.1, s__Campylobacter_A concisus_I, 95.0, 88.62, 0.86; GCF_003048595.1, s__Campylobacter_A concisus_L, 95.0, 88.6, 0.82; GCF_002165775.1, s__Campylobacter_A concisus_E, 95.0, 88.59, 0.84; GCF_003048535.1, s__Campylobacter_A concisus_S, 95.0, 88.55, 0.8; GCF_003048905.1, s__Campylobacter_A concisus_V, 95.0, 88.53, 0.82; GCF_002914005.1, s__Campylobacter_A concisus_N, 95.0, 88.47, 0.83; GCF_002913945.1, s__Campylobacter_A concisus_P, 95.0, 88.47, 0.81; GCF_003048575.1, s__Campylobacter_A concisus_U, 95.0, 88.33, 0.83; GCF_000313615.1, s__Campylobacter_A showae_A, 95.0, 80.34, 0.3; GCF_000376325.1, s__Campylobacter_A curvus, 95.0, 78.45, 0.44; GCF_000175655.1, s__Campylobacter_A showae_C, 95.0, 78.28, 0.27; GCF_000344295.2, s__Campylobacter_A showae_B, 95.0, 78.15, 0.28; GCF_000174175.1, s__Campylobacter_A rectus, 95.0, 77.8, 0.22; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.58, 0.3	93.51	11	N/A	N/A
GCF_000017725.2_ASM1772v2_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_T	GCF_003048375.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_T	95.11	0.85	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have incongruent species assignments	GCF_003048675.1, s__Campylobacter_A concisus_F, 95.0, 95.06, 0.9; GCF_002913745.1, s__Campylobacter_A concisus_R, 95.0, 94.8, 0.89; GCF_000466685.1, s__Campylobacter_A concisus_A, 95.0, 94.78, 0.85; GCF_002913305.1, s__Campylobacter_A concisus_C, 95.0, 94.73, 0.9; GCF_003048835.1, s__Campylobacter_A concisus_D, 95.0, 94.68, 0.89; GCF_002913225.1, s__Campylobacter_A concisus_J, 95.0, 94.56, 0.9; GCF_001891085.1, s__Campylobacter_A concisus_O, 95.0, 88.87, 0.8; GCF_003049085.1, s__Campylobacter_A concisus_H, 95.0, 88.86, 0.81; GCF_000466745.1, s__Campylobacter_A concisus_B, 95.0, 88.79, 0.82; GCF_002912895.1, s__Campylobacter_A concisus_G, 95.0, 88.68, 0.84; GCF_002165785.1, s__Campylobacter_A concisus_W, 95.0, 88.62, 0.8; GCF_001298465.1, s__Campylobacter_A concisus, 95.0, 88.62, 0.85; GCF_003048405.1, s__Campylobacter_A concisus_Q, 95.0, 88.57, 0.77; GCF_003048965.1, s__Campylobacter_A concisus_I, 95.0, 88.57, 0.82; GCF_003048595.1, s__Campylobacter_A concisus_L, 95.0, 88.55, 0.8; GCF_003048535.1, s__Campylobacter_A concisus_S, 95.0, 88.55, 0.82; GCF_002165775.1, s__Campylobacter_A concisus_E, 95.0, 88.53, 0.85; GCF_002914195.1, s__Campylobacter_A concisus_M, 95.0, 88.49, 0.83; GCF_003048905.1, s__Campylobacter_A concisus_V, 95.0, 88.44, 0.82; GCF_002913945.1, s__Campylobacter_A concisus_P, 95.0, 88.43, 0.79; GCF_002914005.1, s__Campylobacter_A concisus_N, 95.0, 88.43, 0.84; GCA_002092835.1, s__Campylobacter_A concisus_K, 95.0, 88.38, 0.82; GCF_003048575.1, s__Campylobacter_A concisus_U, 95.0, 88.27, 0.8; GCF_000313615.1, s__Campylobacter_A showae_A, 95.0, 80.05, 0.29; GCF_000376325.1, s__Campylobacter_A curvus, 95.0, 78.54, 0.45; GCF_000344295.2, s__Campylobacter_A showae_B, 95.0, 78.38, 0.27; GCF_000175655.1, s__Campylobacter_A showae_C, 95.0, 78.38, 0.3; GCF_000174175.1, s__Campylobacter_A rectus, 95.0, 77.67, 0.22; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.6, 0.34	93.51	11	N/A	N/A
GCF_000017465.2_ASM1746v2_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	GCF_000376325.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	95.86	0.9	GCF_000376325.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	95.86	0.9	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_003049085.1, s__Campylobacter_A concisus_H, 95.0, 78.6, 0.35; GCF_002913305.1, s__Campylobacter_A concisus_C, 95.0, 78.49, 0.42; GCF_000344295.2, s__Campylobacter_A showae_B, 95.0, 78.47, 0.35; GCF_000175655.1, s__Campylobacter_A showae_C, 95.0, 78.47, 0.37; GCF_003048375.1, s__Campylobacter_A concisus_T, 95.0, 78.46, 0.44; GCF_002914195.1, s__Campylobacter_A concisus_M, 95.0, 78.43, 0.36; GCF_001298465.1, s__Campylobacter_A concisus, 95.0, 78.38, 0.36; GCF_002913945.1, s__Campylobacter_A concisus_P, 95.0, 78.37, 0.36; GCF_000466685.1, s__Campylobacter_A concisus_A, 95.0, 78.36, 0.45; GCF_003048675.1, s__Campylobacter_A concisus_F, 95.0, 78.35, 0.43; GCF_002913745.1, s__Campylobacter_A concisus_R, 95.0, 78.34, 0.44; GCF_003048835.1, s__Campylobacter_A concisus_D, 95.0, 78.33, 0.43; GCF_002914005.1, s__Campylobacter_A concisus_N, 95.0, 78.33, 0.37; GCF_003048905.1, s__Campylobacter_A concisus_V, 95.0, 78.32, 0.36; GCA_002092835.1, s__Campylobacter_A concisus_K, 95.0, 78.32, 0.35; GCF_001891085.1, s__Campylobacter_A concisus_O, 95.0, 78.31, 0.35; GCF_003048965.1, s__Campylobacter_A concisus_I, 95.0, 78.31, 0.37; GCF_000313615.1, s__Campylobacter_A showae_A, 95.0, 78.3, 0.36; GCF_002913225.1, s__Campylobacter_A concisus_J, 95.0, 78.27, 0.46; GCF_002165785.1, s__Campylobacter_A concisus_W, 95.0, 78.25, 0.37; GCF_002912895.1, s__Campylobacter_A concisus_G, 95.0, 78.25, 0.39; GCF_003048575.1, s__Campylobacter_A concisus_U, 95.0, 78.23, 0.37; GCF_003048405.1, s__Campylobacter_A concisus_Q, 95.0, 78.22, 0.35; GCF_000174175.1, s__Campylobacter_A rectus, 95.0, 78.2, 0.34; GCF_002165775.1, s__Campylobacter_A concisus_E, 95.0, 78.16, 0.37; GCF_000466745.1, s__Campylobacter_A concisus_B, 95.0, 78.13, 0.38; GCF_003048535.1, s__Campylobacter_A concisus_S, 95.0, 78.11, 0.35; GCF_003048595.1, s__Campylobacter_A concisus_L, 95.0, 78.1, 0.4; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.23, 0.21	92.7	11	N/A	N/A
GCF_902381815.1_UHGG_MGYG-HGUT-01706_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	GCF_000376325.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	95.86	0.9	GCF_000376325.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	95.86	0.9	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_003049085.1, s__Campylobacter_A concisus_H, 95.0, 78.6, 0.35; GCF_002913305.1, s__Campylobacter_A concisus_C, 95.0, 78.49, 0.42; GCF_000344295.2, s__Campylobacter_A showae_B, 95.0, 78.47, 0.35; GCF_000175655.1, s__Campylobacter_A showae_C, 95.0, 78.47, 0.38; GCF_003048375.1, s__Campylobacter_A concisus_T, 95.0, 78.46, 0.44; GCF_002914195.1, s__Campylobacter_A concisus_M, 95.0, 78.43, 0.36; GCF_001298465.1, s__Campylobacter_A concisus, 95.0, 78.38, 0.36; GCF_002913945.1, s__Campylobacter_A concisus_P, 95.0, 78.37, 0.36; GCF_000466685.1, s__Campylobacter_A concisus_A, 95.0, 78.36, 0.44; GCF_003048675.1, s__Campylobacter_A concisus_F, 95.0, 78.35, 0.43; GCF_002913745.1, s__Campylobacter_A concisus_R, 95.0, 78.34, 0.44; GCF_002914005.1, s__Campylobacter_A concisus_N, 95.0, 78.33, 0.37; GCA_002092835.1, s__Campylobacter_A concisus_K, 95.0, 78.32, 0.35; GCF_001891085.1, s__Campylobacter_A concisus_O, 95.0, 78.31, 0.35; GCF_003048905.1, s__Campylobacter_A concisus_V, 95.0, 78.31, 0.36; GCF_003048965.1, s__Campylobacter_A concisus_I, 95.0, 78.31, 0.37; GCF_000313615.1, s__Campylobacter_A showae_A, 95.0, 78.3, 0.36; GCF_003048835.1, s__Campylobacter_A concisus_D, 95.0, 78.29, 0.43; GCF_002913225.1, s__Campylobacter_A concisus_J, 95.0, 78.27, 0.46; GCF_002165785.1, s__Campylobacter_A concisus_W, 95.0, 78.25, 0.37; GCF_002912895.1, s__Campylobacter_A concisus_G, 95.0, 78.25, 0.39; GCF_003048575.1, s__Campylobacter_A concisus_U, 95.0, 78.23, 0.37; GCF_000174175.1, s__Campylobacter_A rectus, 95.0, 78.21, 0.34; GCF_003048405.1, s__Campylobacter_A concisus_Q, 95.0, 78.21, 0.35; GCF_002165775.1, s__Campylobacter_A concisus_E, 95.0, 78.16, 0.37; GCF_000466745.1, s__Campylobacter_A concisus_B, 95.0, 78.13, 0.38; GCF_003048595.1, s__Campylobacter_A concisus_L, 95.0, 78.1, 0.4; GCF_003048535.1, s__Campylobacter_A concisus_S, 95.0, 78.08, 0.35; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.23, 0.21	92.7	11	N/A	N/A
GCF_002021925.1_ASM202192v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	GCF_002021925.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	100.0	1.0	GCF_002021925.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	100.0	1.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002022005.1, s__Campylobacter_A pinnipediorum_A, 95.0, 94.72, 0.9; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.66, 0.21	94.38	11	N/A	N/A
GCF_002021945.1_ASM202194v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	GCF_002021925.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	98.63	0.97	GCF_002021925.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	98.63	0.97	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002022005.1, s__Campylobacter_A pinnipediorum_A, 95.0, 94.69, 0.9; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.63, 0.22	94.37	11	N/A	N/A
GCF_002021965.1_ASM202196v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	GCF_002021925.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	98.57	0.98	GCF_002021925.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum	98.57	0.98	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002022005.1, s__Campylobacter_A pinnipediorum_A, 95.0, 94.81, 0.94; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.69, 0.22	94.37	11	N/A	N/A
GCF_002022005.1_ASM202200v1_genomic	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum_A	GCF_002022005.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum_A	100.0	0.99	GCF_002022005.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A pinnipediorum_A	100.0	0.99	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002021925.1, s__Campylobacter_A pinnipediorum, 95.0, 94.72, 0.9; GCA_000705255.1, s__Campylobacter_A mucosalis, 95.0, 77.47, 0.23	94.29	11	N/A	N/A
