"","qseqid","type","region","sseqid","mean_pi","annotations"
"1","n_noahi_1_1382","island",1,"gracillis_1_853",69.945,"""Sulfopyruvate decarboxylase subunit beta "", ""sulfopyruvate decarboxylase subunit beta "", ""putative Thiamine pyrophosphate enzyme, C-terminal TPP-binding domain protein "", ""hypothetical protein SCARUB_03711 """
"2","n_noahi_1_1383","island",1,"no_rbh",0,NA
"3","n_noahi_1_1384","island",1,"gracillis_1_854",38.75,"""hypothetical protein COV66_04960 "", ""hypothetical protein "", ""putative FlaG protein "", ""hypothetical protein COV67_14530 "", ""hypothetical protein E2O41_06960 """
"4","n_noahi_1_1384","island",1,"stinkeri_1_903",39.1295,"""hypothetical protein COV66_04960 "", ""hypothetical protein "", ""putative FlaG protein "", ""hypothetical protein COV67_14530 "", ""hypothetical protein E2O41_06960 """
"5","n_noahi_1_1385","island",1,"no_rbh",0,"""hypothetical protein BWK80_05535 "", ""aspartyl protease "", ""hypothetical protein "", ""DUF4124 domain-containing protein """
"6","n_noahi_1_1386","island",1,"no_rbh",0,"""NrdH-like redox domain protein, YruB family, DUF4124-containing "", ""hypothetical protein BWK80_05535 "", ""exported hypothetical protein "", ""DUF4124 domain-containing protein "", ""hypothetical protein A2V83_01975, partial "", ""glutaredoxin family protein "", ""hypothetical protein "", ""aspartyl protease """
"7","n_noahi_1_1387","island",1,"gracillis_1_292",30.357,"""hypothetical protein C0622_14210 "", ""helix-turn-helix transcriptional regulator "", ""hypothetical protein A2X58_08570 "", ""phage C1 repressor "", ""putative phage repressor "", ""hypothetical protein """
"8","n_noahi_1_1388","island",1,"no_rbh",0,"""hypothetical protein B5M47_03965 "", ""hypothetical protein "", ""hypothetical protein Despr_2465 "", ""hypothetical protein C0613_08490 """
"9","n_noahi_1_1389","island",1,"no_rbh",0,"""helix-turn-helix transcriptional regulator "", ""DNA-binding protein "", ""transcriptional regulator "", ""hypothetical protein """
"10","n_noahi_1_1390","island",1,"no_rbh",0,"""hypothetical protein DRP76_03930, partial "", ""putative bacteriophage transposase A protein "", ""hypothetical protein "", ""DDE-type integrase/transposase/recombinase "", ""hypothetical protein DKM22_03265 "", ""integrase catalytic region "", ""TPA: hypothetical protein CPT80_03775 """
"11","n_noahi_1_1391","island",1,"no_rbh",0,NA
"12","n_noahi_1_1392","island",1,"no_rbh",0,"""hypothetical protein E2O43_06075 "", ""hypothetical protein E2O42_09030 """
"13","n_noahi_1_1393","island",1,"no_rbh",0,"""hypothetical protein DRP76_03925 "", ""ATP-binding protein "", ""hypothetical protein "", ""hypothetical protein DKM22_03260 "", ""prophage MuSo1 DNA transposition protein putative """
"14","n_noahi_1_1394","island",1,"no_rbh",0,"""hypothetical protein "", ""MULTISPECIES: hypothetical protein """
"15","n_noahi_1_1395","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein EPN18_04475, partial """
"16","n_noahi_1_1396","island",1,"no_rbh",0,NA
"17","n_noahi_1_1397","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein EPN18_10070 "", ""hypothetical protein C4560_02980 "", ""putative cytosolic protein "", ""hypothetical protein BZ151_13140 "", ""hypothetical protein A4E60_00214 "", ""hypothetical protein Acid345_3382 "", ""hypothetical protein Javan149_0050 """
"18","n_noahi_1_1398","island",1,"no_rbh",0,NA
"19","n_noahi_1_1399","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein C0613_08440 "", ""hypothetical protein ACD_75C00843G0003 "", ""hypothetical protein DRH29_04790 "", ""hypothetical protein A2Y38_05540 "", ""hypothetical protein CVU54_02005 "", ""hypothetical protein A4E74_01536 """
"20","n_noahi_1_1400","island",1,"no_rbh",0,"""hypothetical protein "", ""MULTISPECIES: hypothetical protein "", ""hypothetical protein LA733_0057 """
"21","n_noahi_1_1401","island",1,"no_rbh",0,NA
"22","n_noahi_1_1402","island",1,"no_rbh",0,"""regulatory protein GemA "", ""hypothetical protein "", ""hypothetical protein COV67_04210 "", ""hypothetical protein CVU53_06810 """
"23","n_noahi_1_1403","island",1,"no_rbh",0,"""hypothetical protein SAMN04515666_101340 "", ""hypothetical protein "", ""hypothetical protein C7B46_19805 """
"24","n_noahi_1_1404","island",1,"no_rbh",0,NA
"25","n_noahi_1_1405","island",1,"no_rbh",0,NA
"26","n_noahi_1_1406","island",1,"no_rbh",0,"""hypothetical protein "", ""MULTISPECIES: hypothetical protein "", ""hypothetical protein EKK50_07600 "", ""hypothetical protein E5Y85_25640 """
"27","n_noahi_1_1407","island",1,"no_rbh",0,"""phage Gp37/Gp68 family protein "", ""DUF5131 family protein """
"28","n_noahi_1_1408","island",1,"no_rbh",0,"""hypothetical protein "", ""MULTISPECIES: hypothetical protein """
"29","n_noahi_1_1409","island",1,"no_rbh",0,"""hypothetical protein DRN95_07265 "", ""hypothetical protein DRQ07_04655 "", ""hypothetical protein "", ""hypothetical protein CUN48_05395 "", ""putative glycosyl hydrolase-like family 15 (GHL15 protein "", ""hypothetical protein AUG48_07560 "", ""hypothetical protein E6G62_09355 "", ""hypothetical protein COY76_02780, partial "", ""hypothetical protein COX95_04305, partial """
"30","n_noahi_1_1410","island",1,"no_rbh",0,"""hypothetical protein DRH08_11855, partial "", ""AAA family ATPase "", ""hypothetical protein COW53_09580 "", ""DNA recombinase "", ""hypothetical protein "", ""hypothetical protein D6746_15830 "", ""hypothetical protein DRQ32_07185 """
"31","n_noahi_1_1411","island",1,"no_rbh",0,"""hypothetical protein EPN18_10085 "", ""hypothetical protein "", ""Mor transcription activator domain-containing protein "", ""hypothetical protein C4525_14915 "", ""Mor transcription activator domain protein "", ""hypothetical protein DBX44_08635 """
"32","n_noahi_1_1412","island",1,"no_rbh",0,NA
"33","n_noahi_1_1413","island",1,"no_rbh",0,NA
"34","n_noahi_1_1414","island",1,"no_rbh",0,NA
"35","n_noahi_1_1415","island",1,"no_rbh",0,"hypothetical protein "
"36","n_noahi_1_1416","island",1,"no_rbh",0,"""DUF3486 family protein "", ""MULTISPECIES: DUF3486 family protein "", ""hypothetical protein BAA04_01690 "", ""terminase """
"37","n_noahi_1_1417","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein EPN22_16960 "", ""phage FluMu gp28-like protein """
"38","n_noahi_1_1418","island",1,"no_rbh",0,"""DUF935 domain-containing protein "", ""Mu-like prophage protein gp29 "", ""hypothetical protein A4E68_02395 """
"39","n_noahi_1_1419","island",1,"no_rbh",0,"""hypothetical protein "", ""virion morphogenesis late F orf "", ""head morphogenesis protein "", ""mu-like prophage Flumu F protein "", ""Phage Mu protein F like protein "", ""hypothetical protein A2X99_11615 """
"40","n_noahi_1_1420","island",1,"no_rbh",0,NA
"41","n_noahi_1_1421","island",1,"no_rbh",0,"""phage virion morphogenesis protein "", ""Phage virion morphogenesis family protein "", ""prophage MuMc02, virion morphogenesis protein "", ""hypothetical protein VR65_19980 """
"42","n_noahi_1_1422","island",1,"no_rbh",0,"""Mu-like prophage I protein "", ""hypothetical protein """
"43","n_noahi_1_1423","island",1,"no_rbh",0,"""hypothetical protein EPN18_10140 "", ""hypothetical protein "", ""hypothetical protein PSA77_05674 "", ""hypothetical protein, partial "", ""hypothetical protein C4567_00230 "", ""MULTISPECIES: hypothetical protein """
"44","n_noahi_1_1424","island",1,"no_rbh",0,"head protein "
"45","n_noahi_1_1425","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein DLM_1264 "", ""hypothetical protein BAA04_01655 """
"46","n_noahi_1_1426","island",1,"no_rbh",0,"""DUF1320 domain-containing protein "", ""hypothetical protein APR55_07120 "", ""hypothetical protein A2V82_16525 """
"47","n_noahi_1_1427","island",1,"no_rbh",0,"""hypothetical protein BZ151_04400 "", ""DUF1834 family protein "", ""hypothetical protein A2496_05295 "", ""hypothetical protein C0621_07440 "", ""hypothetical protein "", ""conserved protein of unknown function """
"48","n_noahi_1_1428","island",1,"no_rbh",0,NA
"49","n_noahi_1_1429","island",1,"no_rbh",0,"""hypothetical protein D4R80_06575 "", ""hypothetical protein "", ""hypothetical protein C4529_13055, partial "", ""hypothetical protein DRH14_03820 "", ""hypothetical protein AB834_00860 "", ""hypothetical protein D4R80_00645 "", ""hypothetical protein DRO01_03580 """
"50","n_noahi_1_1430","island",1,"no_rbh",0,"""hypothetical protein D4R80_06580 "", ""hypothetical protein C4529_13050 "", ""hypothetical protein DRO01_03575 "", ""hypothetical protein DRG40_00700 "", ""hypothetical protein EKK55_21695 "", ""hypothetical protein "", ""hypothetical protein DRH14_04990 "", ""hypothetical protein SCARUB_01187 """
"51","n_noahi_1_1431","island",1,"no_rbh",0,"""hypothetical protein DRO01_03570 "", ""hypothetical protein "", ""hypothetical protein DRG40_00695 """
"52","n_noahi_1_1432","island",1,"no_rbh",0,"""phage tail tape measure protein "", ""phage tail tape measure protein, partial "", ""MULTISPECIES: phage tail tape measure protein """
"53","n_noahi_1_1433","island",1,"no_rbh",0,"""hypothetical protein COV66_08015 "", ""hypothetical protein COV67_09040 "", ""hypothetical protein COW89_07305, partial """
"54","n_noahi_1_1434","island",1,"no_rbh",0,"""hypothetical protein COV67_09050 "", ""hypothetical protein COW89_02880 "", ""hypothetical protein COV66_08045 "", ""hypothetical protein VR65_20040 "", ""hypothetical protein C4520_03520 "", ""hypothetical protein "", ""hypothetical protein ER57_03175 "", ""hypothetical protein C4544_07430 """
"55","n_noahi_1_1435","island",1,"no_rbh",0,NA
"56","n_noahi_1_1436","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein CBD88_07555 "", ""hypothetical protein CBD88_05055 "", ""hypothetical protein CBB97_18975 "", ""hypothetical protein AMJ74_01455 "", ""hypothetical protein A3F67_08120 "", ""hypothetical protein Tp172DCM1112201_18 """
"57","n_noahi_1_1437","island",1,"no_rbh",0,"""hypothetical protein COW89_02885 "", ""hypothetical protein A2060_06345 """
"58","n_noahi_1_1438","island",1,"no_rbh",0,NA
"59","n_noahi_1_1439","island",1,"no_rbh",0,"""hypothetical protein "", ""hypothetical protein VE26_05630 "", ""discoidin domain-containing protein "", ""hypothetical protein ABS76_15585 """
"60","n_noahi_1_1440","island",1,"no_rbh",0,"""hypothetical protein COV66_08055 "", ""hypothetical protein """
"61","n_noahi_1_1441","island",1,"no_rbh",0,"""DNA adenine methylase "", ""MULTISPECIES: DNA adenine methylase """
"62","n_noahi_1_1442","island",1,"no_rbh",0,"""hypothetical protein EPO07_10575 "", ""hypothetical protein E6J74_22965 "", ""hypothetical protein "", ""hypothetical protein E6J90_27125 """
"63","n_noahi_1_1443","island",1,"no_rbh",0,"""hypothetical protein A3J28_00175 "", ""hypothetical protein C9974_14190 "", ""hypothetical protein "", ""hypothetical protein B7Y41_07530 "", ""hypothetical protein A2046_14620 "", ""MULTISPECIES: hypothetical protein """
"64","n_noahi_1_1444","island",1,"no_rbh",0,"""restriction endonuclease "", ""type III restriction enzyme "", ""type III restriction enzyme, res subunit "", ""Type III restriction enzyme, res subunit """
"65","n_noahi_1_1445","island",1,"no_rbh",0,"""putative DNA methylase "", ""site-specific DNA-methyltransferase "", ""Modification methylase DpnIIB "", ""DNA methylase N-4/N-6 domain protein """
"66","n_noahi_1_1446","island",1,"no_rbh",0,"""MULTISPECIES: DUF262 domain-containing protein "", ""DUF262 domain-containing protein "", ""Protein of unknown function DUF262 """
"67","n_noahi_1_1447","island",1,"no_rbh",0,"""DUF3696 domain-containing protein "", ""hypothetical protein AUK50_04030 "", ""putative ATPase "", ""Predicted ATPase """
"68","n_noahi_1_1448","island",1,"no_rbh",0,"""hypothetical protein EPO18_17300 "", ""hypothetical protein "", ""hypothetical protein C8R11_107141 "", ""hypothetical protein DRR42_20210, partial "", ""hypothetical protein BECKFW1821A_GA0114235_104420 "", ""hypothetical protein BECKFW1821C_GA0114237_106412 "", ""hypothetical protein BECKDK2373B_GA0170837_10279 """
"69","n_noahi_1_1449","island",1,"no_rbh",0,"""DNA helicase "", ""UvrD/REP helicase "", ""putative ATP-dependent DNA helicase YjcD "", ""DEAD/DEAH box helicase """
"70","n_noahi_1_1450","island",1,"stinkeri_1_2331",41.525,"""hypothetical protein "", ""serine protease "", ""hypothetical protein COV66_07620 "", ""trypsin-like peptidase domain-containing protein "", ""trypsin-like serine protease """
"71","n_noahi_1_1469","conserved",2,"gracillis_1_959",80,"""transcription termination/antitermination protein NusG "", ""transcription termination/antitermination protein NusG, partial """
"72","n_noahi_1_1469","conserved",2,"stinkeri_1_436",75.287,"""transcription termination/antitermination protein NusG "", ""transcription termination/antitermination protein NusG, partial """
