"","qseqid","type","region","sseqid","mean_pi","annotations"
"1","n_noahi_1_1469","conserved",2,"gracillis_1_959",80,"""transcription termination/antitermination protein NusG "", ""transcription termination/antitermination protein NusG, partial """
"2","n_noahi_1_1469","conserved",2,"stinkeri_1_436",75.287,"""transcription termination/antitermination protein NusG "", ""transcription termination/antitermination protein NusG, partial """
"3","n_noahi_1_1470","conserved",2,"gracillis_1_960",76.552,"""50S ribosomal protein L11 "", ""LSU ribosomal protein L11P """
"4","n_noahi_1_1470","conserved",2,"stinkeri_1_435",71.127,"""50S ribosomal protein L11 "", ""LSU ribosomal protein L11P """
"5","n_noahi_1_1471","conserved",2,"gracillis_1_961",74.449,"50S ribosomal protein L1 "
"6","n_noahi_1_1473","conserved",2,"gracillis_1_963",80.0785,"50S ribosomal protein L7/L12 "
"7","n_noahi_1_1473","conserved",2,"stinkeri_1_432",78.3465,"50S ribosomal protein L7/L12 "
"8","n_noahi_1_1474","conserved",2,"gracillis_1_964",79.056,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"9","n_noahi_1_1474","conserved",2,"stinkeri_1_431",75.641,"""DNA-directed RNA polymerase subunit beta "", ""DNA-directed RNA polymerase subunit beta, partial """
"10","n_noahi_1_1475","conserved",2,"gracillis_1_965",87.118,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"11","n_noahi_1_1475","conserved",2,"stinkeri_1_430",82.893,"""DNA-directed RNA polymerase, beta' subunit "", ""DNA-directed RNA polymerase subunit beta' "", ""DNA-directed RNA polymerase subunit beta', partial """
"12","n_noahi_1_1476","conserved",2,"gracillis_1_966",90.244,"30S ribosomal protein S12 "
"13","n_noahi_1_1476","conserved",2,"stinkeri_1_429",88.618,"30S ribosomal protein S12 "
"14","n_noahi_1_1477","conserved",2,"gracillis_1_967",77.215,"30S ribosomal protein S7 "
"15","n_noahi_1_1477","conserved",2,"stinkeri_1_428",79.747,"30S ribosomal protein S7 "
"16","n_noahi_1_1478","conserved",2,"gracillis_1_968",76.967,"""elongation factor G "", ""translation elongation factor G """
"17","n_noahi_1_1478","conserved",2,"stinkeri_1_427",73.932,"""elongation factor G "", ""translation elongation factor G """
"18","n_noahi_1_1479","conserved",2,"gracillis_1_969",90.176,"""elongation factor Tu "", ""translation elongation factor Tu """
"19","n_noahi_1_1479","conserved",2,"stinkeri_1_426",86.398,"""elongation factor Tu "", ""translation elongation factor Tu """
"20","n_noahi_1_1480","conserved",2,"gracillis_1_970",96.078,"30S ribosomal protein S10 "
"21","n_noahi_1_1480","conserved",2,"stinkeri_1_425",96.078,"30S ribosomal protein S10 "
"22","n_noahi_1_1484","conserved",2,"gracillis_1_974",82.182,"50S ribosomal protein L2 "
"23","n_noahi_1_1484","conserved",2,"stinkeri_1_421",73.455,"50S ribosomal protein L2 "
"24","n_noahi_1_1485","conserved",2,"gracillis_1_975",86.316,"30S ribosomal protein S19 "
"25","n_noahi_1_1485","conserved",2,"stinkeri_1_420",80,"30S ribosomal protein S19 "
"26","n_noahi_1_1487","conserved",2,"gracillis_1_977",86.667,"30S ribosomal protein S3 "
"27","n_noahi_1_1487","conserved",2,"stinkeri_1_418",78.378,"30S ribosomal protein S3 "
"28","n_noahi_1_1488","conserved",2,"gracillis_1_978",86.029,"50S ribosomal protein L16 "
"29","n_noahi_1_1488","conserved",2,"stinkeri_1_417",80.741,"50S ribosomal protein L16 "
"30","n_noahi_1_1491","conserved",2,"gracillis_1_981",89.431,"50S ribosomal protein L14 "
"31","n_noahi_1_1491","conserved",2,"stinkeri_1_414",82.114,"50S ribosomal protein L14 "
"32","n_noahi_1_1493","conserved",2,"gracillis_1_983",84.181,"50S ribosomal protein L5 "
"33","n_noahi_1_1493","conserved",2,"stinkeri_1_412",79.444,"50S ribosomal protein L5 "
"34","n_noahi_1_1496","conserved",2,"gracillis_1_986",74.7095,"50S ribosomal protein L6 "
"35","n_noahi_1_1498","conserved",2,"gracillis_1_988",81.595,"30S ribosomal protein S5 "
"36","n_noahi_1_1498","conserved",2,"stinkeri_1_408",80.795,"30S ribosomal protein S5 "
"37","n_noahi_1_1499","conserved",2,"gracillis_1_989",70.068,"50S ribosomal protein L15 "
"38","n_noahi_1_1499","conserved",2,"stinkeri_1_407",70.423,"50S ribosomal protein L15 "
"39","n_noahi_1_1500","conserved",2,"gracillis_1_990",79.043,"preprotein translocase subunit SecY "
