fasta_header,hit_num,sseq_length,sseq_accession,sseq_description,bitscore,evalue,matched_residues,alignment_length,percent_identity,qseq_length
1_T47_YPD_16S.1492R_51,1,1051,MF506744,"Bacillus licheniformis strain CG15 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,2,788,MF965091,"Bacillus licheniformis strain SURF-082F 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,3,954,KX397516,"Bacillus sp. strain JST22 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,4,1439,KT152822,"Bacterium msa8-2 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,5,1058,JN366714,"Bacillus licheniformis strain 30N1-10 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,6,1214,AF234855,"Bacillus licheniformis strain FO-037 16S ribosomal RNA gene, partial sequence",893.954,0,509,517,98.45261122,517
1_T47_YPD_16S.1492R_51,7,1181,MN252539,"Bacterium strain S16 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,8,1350,MN249522,"Bacillus swezeyi strain N-34 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,9,4201713,CP042252,"Bacillus licheniformis strain KNU11 chromosome, complete genome",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,10,1415,MK696979,"Bacillus haynesii strain MS58 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,11,1454,MN240428,"Bacillus paralicheniformis strain TRQ65 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,12,1120,MN238858,"Bacillus subtilis strain LB-3 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,13,1417,MN233372,"Bacillus licheniformis strain CEDI-7 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,14,1517,MN204491,"Bacillus sp. (in: Bacteria) strain SMKRBT-TS18 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,15,1439,MN187265,"Bacillus sp. (in: Bacteria) strain XAAS.x502 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,16,1170,MK327813,"Bacillus licheniformis strain 726 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,17,1283,MN173110,"Bacillus licheniformis strain ZBM5 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,18,1452,MN170899,"Uncultured Bacillus sp. clone jyw18 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,19,1446,MN165657,"Bacillus licheniformis strain JYW6 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,20,1438,MN160227,"Bacillus sonorensis strain RCPS1 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,21,1376,MN133912,"Bacillus licheniformis strain BY65 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,22,1199,MN133907,"Bacillus haynesii strain BY60 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,23,1246,MN128071,"Bacillus licheniformis strain TS3 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,24,1341,MN122274,"Bacillus swezeyi strain AQ54 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
1_T47_YPD_16S.1492R_51,25,1472,MK286961,"Bacillus haynesii strain BECMY6 16S ribosomal RNA gene, partial sequence",889.445,0,508,517,98.25918762,517
