"","rename","Species","names"
"1","Neisseriaceae_Kingella_JQ465782.1.1425","uncultured bacterium","JQ465782.1.1425_beta_extraction"
"2","Neisseriaceae_Neisseria_JQ471134.1.1407","uncultured bacterium","JQ471134.1.1407_beta_extraction"
"3","Neisseriaceae_Neisseria_JQ456004.1.1395","uncultured bacterium","JQ456004.1.1395_beta_extraction"
"4","Neisseriaceae_uncultured_HQ400365.1.1511","uncultured rumen bacterium","HQ400365.1.1511_beta_extraction"
"5","Neisseriaceae_Neisseria_JQ468563.1.1403","uncultured bacterium","JQ468563.1.1403_beta_extraction"
"6","Neisseriaceae_Neisseria_KF071198.1.1368","uncultured bacterium","KF071198.1.1368_beta_extraction"
"7","Neisseriaceae_Neisseria_AEPI01000088.104.1624","Neisseria lactamica NS19","AEPI01000088.104.1624_beta_extraction"
"8","Neisseriaceae_Neisseria_JF235709.1.1366","uncultured bacterium","JF235709.1.1366_beta_extraction"
"9","Neisseriaceae_Neisseria_JQ467426.1.1410","uncultured bacterium","JQ467426.1.1410_beta_extraction"
"10","Neisseriaceae_Neisseria_JQ453167.1.1405","uncultured bacterium","JQ453167.1.1405_beta_extraction"
"11","Neisseriaceae_Neisseria_JF148797.1.1365","uncultured bacterium","JF148797.1.1365_beta_extraction"
"12","Neisseriaceae_Kingella_JQ465182.1.1406","uncultured bacterium","JQ465182.1.1406_beta_extraction"
"13","Neisseriaceae_Neisseria_JQ451124.1.1384","uncultured bacterium","JQ451124.1.1384_beta_extraction"
"14","Neisseriaceae_Neisseria_JQ204620.1.1367","uncultured bacterium","JQ204620.1.1367_beta_extraction"
"15","Neisseriaceae_Neisseria_JQ455592.1.1401","uncultured bacterium","JQ455592.1.1401_beta_extraction"
"16","Neisseriaceae_uncultured_JF203688.1.1365","uncultured bacterium","JF203688.1.1365_beta_extraction"
"17","Neisseriaceae_Neisseria_JQ453291.1.1403","uncultured bacterium","JQ453291.1.1403_beta_extraction"
"18","Neisseriaceae_Neisseria_JQ450689.1.1407","uncultured bacterium","JQ450689.1.1407_beta_extraction"
"19","Neisseriaceae_Neisseria_FJ823143.1.1436","Neisseria subflava","FJ823143.1.1436_beta_extraction"
"20","Neisseriaceae_Neisseria_MTBO01000069.129.1679","Neisseria dentiae","MTBO01000069.129.1679_beta_extraction"
"21","Neisseriaceae_uncultured_HM342350.1.1365","uncultured bacterium","HM342350.1.1365_beta_extraction"
"22","Neisseriaceae_Neisseria_KF083510.1.1364","uncultured bacterium","KF083510.1.1364_beta_extraction"
"23","Neisseriaceae_Neisseria_JQ453302.1.1413","uncultured bacterium","JQ453302.1.1413_beta_extraction"
"24","Neisseriaceae_Neisseria_JQ455623.1.1405","uncultured bacterium","JQ455623.1.1405_beta_extraction"
"25","Neisseriaceae_Simonsiella_HK557010.10.1532","unidentified","HK557010.10.1532_beta_extraction"
"26","Neisseriaceae_Neisseria_JQ462229.1.1396","uncultured bacterium","JQ462229.1.1396_beta_extraction"
"27","Neisseriaceae_Neisseria_JQ455652.1.1401","uncultured bacterium","JQ455652.1.1401_beta_extraction"
"28","Neisseriaceae_Neisseria_JQ452754.1.1399","uncultured bacterium","JQ452754.1.1399_beta_extraction"
