"","fasta_header","domain","domain_conf","phylum","phylum_conf","class","class_conf","order","order_conf","family","family_conf","genus","genus_conf"
"1","6eff0dba2d357a74a94e232fd78e2ece","Bacteria",1,"Proteobacteria",1,"Epsilonproteobacteria",1,"Campylobacterales",1,"Campylobacteraceae",1,"Campylobacter",1
"2","b700117df28ef2839bc6118b905e64b0","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",0.86,"Neisseriaceae",0.86,NA,0.31
"3","93cbda2bce612378ac118fb54445c03e","Bacteria",1,"Proteobacteria",1,"Epsilonproteobacteria",1,"Campylobacterales",1,"Campylobacteraceae",1,"Campylobacter",1
"4","8d538a323876573b6d023bf21ca7b713","Bacteria",1,"Bacteroidetes",0.89,NA,0.76,NA,0.76,NA,0.09,NA,0.09
"5","60824686921a0f5151cbcee5616ce8e3","Bacteria",1,"Bacteroidetes",0.97,"Bacteroidia",0.89,"Bacteroidales",0.89,"Prevotellaceae",0.81,NA,0.77
"6","90ce641365af08edfffe8792ebbbcd53","Bacteria",0.84,NA,0.4,NA,0.4,NA,0.4,NA,0.35,NA,0.35
"7","1f11ace9d7b45ee5a32058478ad5e51d","Bacteria",0.96,NA,0.14,NA,0.06,NA,0.06,NA,0.05,NA,0.04
"8","ad57b5683ef682d9afafedc5d3ca9179","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",0.99,"Neisseriales",0.92,"Neisseriaceae",0.92,NA,0.6
"9","e183d8cbd457844c8d8cba29669638b6","Bacteria",0.98,"Bacteroidetes",0.9,NA,0.26,NA,0.26,NA,0.07,NA,0.04
"10","63c3f2b812c8cf6124b89b9df1dc5cd6","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",0.98,"Burkholderiales",0.87,"Comamonadaceae",0.82,NA,0.63
"11","3f27abf0e3fb7aa65fae35c5572cc167","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",0.83,"Neisseriaceae",0.83,NA,0.32
"12","18bf38288447a0dbec0a1d2bc0993b30","Bacteria",1,"Bacteroidetes",0.93,NA,0.64,NA,0.64,NA,0.57,NA,0.29
"13","b6dc26acadc0ed6534cd7933fa8b2340","Bacteria",0.98,NA,0.53,NA,0.53,NA,0.53,NA,0.44,NA,0.44
"14","961130c2e6c6eefa27786727e1ae1b86","Bacteria",0.88,NA,0.51,NA,0.51,NA,0.51,NA,0.5,NA,0.5
"15","1491e62408ad3f4cc227507a2c01afd8","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",0.92,"Neisseriaceae",0.92,NA,0.72
"16","4a346500a603155b38e46d15bbb39a53","Bacteria",1,"Proteobacteria",0.93,"Deltaproteobacteria",0.91,"Desulfobacterales",0.88,NA,0.62,NA,0.55
"17","5cbcc2213d66d05d93928e2030eccf6e","Bacteria",0.95,NA,0.32,NA,0.32,NA,0.32,NA,0.13,NA,0.13
"18","665d91b42f6ed9f0e61b98479b736576","Bacteria",1,"Bacteroidetes",0.97,NA,0.51,NA,0.51,NA,0.37,NA,0.35
"19","1a2009cb7f6791d6ea31e58b8d1601e0","Bacteria",0.97,NA,0.72,NA,0.67,NA,0.67,NA,0.14,NA,0.1
"20","dc0ee7c9b4ab346b911d318d834a8d5c","Bacteria",0.98,"Firmicutes",0.88,"Clostridia",0.87,"Clostridiales",0.87,NA,0.67,NA,0.34
"21","c57f3ef0fa3ec6e84b0a29e893ed47e0","Bacteria",1,"Bacteroidetes",0.85,NA,0.57,NA,0.57,NA,0.55,NA,0.11
"22","500066c271408d05a4adb275a8cded7b","Bacteria",1,NA,0.79,NA,0.75,NA,0.75,NA,0.43,NA,0.22
"23","9a816e29fff5f277d70d05e58063a40b","Bacteria",0.99,"Bacteroidetes",0.94,"Bacteroidia",0.83,"Bacteroidales",0.83,NA,0.72,NA,0.61
"24","8b6b95202b1a3b4635e3dc7340cd6722","Bacteria",1,"Firmicutes",1,"Clostridia",0.99,"Clostridiales",0.99,"Lachnospiraceae",0.99,"Butyrivibrio",0.85
"25","6b88e85c8c8b84ae40b19f0273761253","Bacteria",1,NA,0.53,NA,0.31,NA,0.31,NA,0.19,NA,0.11
"26","b02cdd71fdae6fd6d52dd40706b62541","Bacteria",0.99,NA,0.62,NA,0.48,NA,0.48,NA,0.2,NA,0.2
"27","4776533b28b8674c7a155f0483858243","Bacteria",1,"Firmicutes",0.97,"Clostridia",0.95,"Clostridiales",0.95,"Lachnospiraceae",0.9,NA,0.77
"28","b25f64cf998f547f0e41d74e85eaec50","Bacteria",1,NA,0.14,NA,0.14,NA,0.11,NA,0.11,NA,0.11
"29","327b23edb4e522c09ceea365f5191bc1","Bacteria",1,NA,0.49,NA,0.25,NA,0.25,NA,0.22,NA,0.2
"30","57a0e13ebfd60c271fdd232cf83545af","Bacteria",0.99,"Firmicutes",0.96,"Clostridia",0.95,"Clostridiales",0.95,"Lachnospiraceae",0.95,NA,0.78
"31","5c7e8aa8c79b190509eafaf94900948f","Bacteria",0.98,"Bacteroidetes",0.93,"Bacteroidia",0.93,"Bacteroidales",0.93,"Porphyromonadaceae",0.92,"Barnesiella",0.83
"32","460493dce3433c054d3dcfea467cb34c","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",1,"Neisseriales",0.94,"Neisseriaceae",0.94,NA,0.54
"33","1d58f9e52581b095829f1cfccf3a044d","Bacteria",1,NA,0.79,NA,0.79,NA,0.79,NA,0.79,NA,0.79
"34","0229828aac54e590f0a39259767515e9","Bacteria",1,"Firmicutes",0.88,"Clostridia",0.83,NA,0.77,NA,0.61,NA,0.45
"35","900934dfa275d53aade2c362360353a4","Bacteria",1,"Proteobacteria",1,"Betaproteobacteria",0.98,"Neisseriales",0.87,"Neisseriaceae",0.87,NA,0.39
"36","05a62117fcd8a4263f1b7308d2612c7f","Bacteria",1,NA,0.23,NA,0.23,NA,0.22,NA,0.19,NA,0.19
"37","2f3a50f480456e73563cb6da68efe935","Bacteria",1,"Firmicutes",0.95,"Clostridia",0.92,"Clostridiales",0.92,"Lachnospiraceae",0.86,NA,0.75
"38","7c2a830176e1c11c6e08044ebb3b1b94","Bacteria",1,"Firmicutes",0.88,"Clostridia",0.85,"Clostridiales",0.83,NA,0.71,NA,0.59
"39","6d7b1a084c63c82180b2157e8241ed99","Bacteria",0.99,NA,0.75,NA,0.73,NA,0.73,NA,0.23,NA,0.21
"40","c00391149d1dcec7ac9ff32a50167a1a","Bacteria",1,NA,0.7,NA,0.52,NA,0.51,NA,0.33,NA,0.19
"41","65c253d148c2243fee124f87c44030c1","Bacteria",1,"SR1",0.85,"SR1_genera_incertae_sedis",0.85,"SR1_genera_incertae_sedis",0.85,"SR1_genera_incertae_sedis",0.85,"SR1_genera_incertae_sedis",0.85
"42","195f73f7859d2c6bef53cabd39fb4522","Bacteria",1,"Firmicutes",0.88,"Clostridia",0.87,"Clostridiales",0.83,NA,0.62,NA,0.41
"43","4a298cdd3c0df2024473d5badc6b8fd7","Bacteria",1,"Firmicutes",1,"Clostridia",1,"Clostridiales",1,"Lachnospiraceae",0.99,"Butyrivibrio",0.8
"44","5c6a5477a20bcbd1cb8ff2cb641d2b1a","Bacteria",1,NA,0.73,NA,0.71,NA,0.69,NA,0.24,NA,0.14
"45","5a0dacb7ef92adb5a636d5441f39c00b","Bacteria",1,"Proteobacteria",0.86,NA,0.79,NA,0.75,NA,0.74,NA,0.72
"46","262f5af59e4e67886db1bbc08b159ce8","Bacteria",1,NA,0.68,NA,0.15,NA,0.15,NA,0.13,NA,0.11
"47","58d339fbe0c7bdb399a0f39ec1f59d90","Bacteria",1,"Bacteroidetes",0.94,NA,0.77,NA,0.77,NA,0.58,NA,0.53
"48","20d23ef182413ba0bb678d0dfef76b59","Bacteria",1,"Bacteroidetes",1,"Bacteroidia",0.99,"Bacteroidales",0.99,"Prevotellaceae",0.94,"Prevotella",0.93
"49","db027617d7d7f9c916449503f8cf5017","Bacteria",0.98,NA,0.68,NA,0.68,NA,0.68,NA,0.59,NA,0.47
"50","d5c71705e9657b14f0607e5694c0067b","Bacteria",1,"Bacteroidetes",0.93,NA,0.45,NA,0.45,NA,0.42,NA,0.1
"51","eb471f57885fa87a9dcf278ec21c96a3","Bacteria",1,NA,0.56,NA,0.18,NA,0.18,NA,0.14,NA,0.13
"52","064ef6b5c20f0e1d701b4e3eee612daf","Bacteria",0.99,NA,0.66,NA,0.35,NA,0.35,NA,0.17,NA,0.14
"53","40268917a74ee693fa7dcbb0a7badde8","Bacteria",1,"Firmicutes",0.89,"Clostridia",0.8,NA,0.79,NA,0.7,NA,0.32
"54","227afb65ed7130c49b2b34c84d874b33","Bacteria",1,"Firmicutes",1,"Erysipelotrichia",1,"Erysipelotrichales",1,"Erysipelotrichaceae",1,"Erysipelotrichaceae_incertae_sedis",1
"55","f26aba1e25b830bff468254f61f053d1","Bacteria",1,"Firmicutes",0.97,"Clostridia",0.96,"Clostridiales",0.96,"Lachnospiraceae",0.94,NA,0.76
"56","7dec5adb94c8d53d4b9a0f13bd831b24","Bacteria",1,"Firmicutes",0.84,"Clostridia",0.8,"Clostridiales",0.8,NA,0.72,NA,0.42
"57","9af3e3cdd55a2dda81af9e2349c69d5a","Bacteria",0.98,NA,0.21,NA,0.2,NA,0.2,NA,0.2,NA,0.2
"58","670b03994c778562510043e23d1c3189","Bacteria",0.98,NA,0.53,NA,0.42,NA,0.36,NA,0.1,NA,0.08
"59","78fda16ce4b98453458dd41c7012df85","Bacteria",1,"Firmicutes",1,"Clostridia",0.99,"Clostridiales",0.99,"Lachnospiraceae",0.99,"Butyrivibrio",0.81
"60","1e28a701d542cf2d12850c563544cadc","Bacteria",0.94,"Firmicutes",0.86,"Clostridia",0.85,"Clostridiales",0.84,NA,0.26,NA,0.26
"61","d853ee7febbcd1dca48439bf6110175f","Bacteria",1,NA,0.73,NA,0.65,NA,0.56,NA,0.07,NA,0.07
"62","c05b61c166eaf80f3cdba46edba76ab8","Bacteria",0.99,"Bacteroidetes",0.81,NA,0.52,NA,0.52,NA,0.44,NA,0.26
"63","9faa677805f2db8c44bc075e34cc59d3","Bacteria",1,NA,0.57,NA,0.19,NA,0.19,NA,0.1,NA,0.09
"64","f263d2f4e301543172bf784d434373a6","Bacteria",1,"Actinobacteria",0.89,"Actinobacteria",0.89,"Coriobacteriales",0.81,"Coriobacteriaceae",0.81,NA,0.3
"65","ec7304301f8edceff23390f1d52398bd","Bacteria",0.99,NA,0.53,NA,0.2,NA,0.2,NA,0.1,NA,0.08
"66","b9a3142a910d433bf1256db80651d7c2","Bacteria",0.99,"Bacteroidetes",0.93,NA,0.35,NA,0.35,NA,0.29,NA,0.15
