,header,sseq_length,sseq_accession,sseq_description,bitscore,evalue,matched_residues,alignment_length,percent_identity,qseq_length,hit_num
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1051.0,MF506744,"Bacillus licheniformis strain CG15 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,1
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,788.0,MF965091,"Bacillus licheniformis strain SURF-082F 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,2
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,954.0,KX397516,"Bacillus sp. strain JST22 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,3
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1439.0,KT152822,"Bacterium msa8-2 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,4
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1058.0,JN366714,"Bacillus licheniformis strain 30N1-10 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,5
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1214.0,AF234855,"Bacillus licheniformis strain FO-037 16S ribosomal RNA gene, partial sequence",893.954,0.0,509.0,517.0,98.45261121856866,517.0,6
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1181.0,MN252539,"Bacterium strain S16 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,7
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1350.0,MN249522,"Bacillus swezeyi strain N-34 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,8
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,4201713.0,CP042252,"Bacillus licheniformis strain KNU11 chromosome, complete genome",889.445,0.0,508.0,517.0,98.25918762088975,517.0,9
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1415.0,MK696979,"Bacillus haynesii strain MS58 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,10
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1454.0,MN240428,"Bacillus paralicheniformis strain TRQ65 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,11
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1120.0,MN238858,"Bacillus subtilis strain LB-3 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,12
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1417.0,MN233372,"Bacillus licheniformis strain CEDI-7 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,13
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1517.0,MN204491,"Bacillus sp. (in: Bacteria) strain SMKRBT-TS18 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,14
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1439.0,MN187265,"Bacillus sp. (in: Bacteria) strain XAAS.x502 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,15
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1170.0,MK327813,"Bacillus licheniformis strain 726 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,16
1_T47_YPD_16S.1492R_51,>1_T47_YPD_16S.1492R_51,1283.0,MN173110,"Bacillus licheniformis strain ZBM5 16S ribosomal RNA gene, partial sequence",889.445,0.0,508.0,517.0,98.25918762088975,517.0,17
